Table 1
Return to the menu,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Table A.B.7. Annual real investment rates of return of funded and private pension plans, 2002-2021",,,,,,,,,,,,,,,,,,,,,,,
In per cent,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,
Germany,1.6,3.4,2.6,3.4,3.2,1.0,0.5,3.9,3.6,1.0,2.7,2.8,4.4,3.2,2.3,2.3,0.3,3.1,3.2,-1.1, ,,
Greece,..,..,..,..,..,..,2.3,0.3,-7.8,-5.6,5.0,..,6.5,4.7,4.2,6.9,-1.4,9.5,4.5,0.7, ,,
Hungary (1),1.4,-2.6,9.5,7.6,1.2,-3.9,-21.7,12.8,4.2,..,7.8,7.0,9.6,3.7,4.8,4.7,-4.3,5.2,1.1,-4.7, ,,
Iceland (1),-2.8,10.4,9.6,12.0,9.0,0.5,-23.2,0.9,1.2,2.1,6.9,4.8,7.1,7.5,-0.3,5.3,1.8,11.6,8.7,9.4, ,,
Ireland (1),..,..,..,..,..,-7.3,-35.7,..,..,..,..,..,..,4.5,8.1,6.3,-5.9,18.5,6.0,11.7, ,,
Israel (6),..,..,..,..,5.7,3.6,-16.3,20.2,6.8,-4.2,7.9,8.3,5.8,4.3,3.8,7.2,-0.4,10.8,5.8,11.6, ,,
"Italy (1,7)",-1.6,2.5,3.7,4.8,2.1,0.3,-5.3,5.3,1.2,-2.8,4.0,3.9,5.7,1.7,2.0,2.0,-2.8,5.5,3.0,0.4, ,,
Japan (8),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.2,3.3,1.1,-1.9,12.7, ,,
Korea (9),..,2.3,1.6,1.1,1.6,1.7,-1.5,5.2,2.0,-0.6,2.0,2.0,3.2,2.5,2.0,2.0,2.0,..,2.4,-0.7, ,,
Latvia,1.7,1.9,-1.3,1.1,-2.8,-9.5,-21.1,14.3,5.2,-5.9,6.6,2.7,5.1,1.4,0.0,0.8,-6.7,7.4,2.8,-0.2, ,,
Lithuania,..,..,..,..,..,..,..,..,..,-6.6,7.2,3.5,7.5,4.6,2.6,0.3,-6.0,7.1,5.2,6.8, ,,
Luxembourg,..,..,..,..,4.9,-2.5,-11.4,6.5,0.7,-2.3,6.0,1.7,8.3,0.6,3.0,1.2,-5.2,6.0,2.3,2.0, ,,
Mexico (2),..,..,..,4.8,5.6,-0.1,-7.8,7.5,6.6,1.2,9.7,-1.5,4.7,-0.8,-0.4,1.5,-4.9,10.2,9.3,-0.3, ,,
Netherlands,-10.6,8.7,8.5,10.9,6.8,0.6,-17.3,11.5,8.9,4.3,9.5,1.6,15.1,0.9,8.6,4.2,-3.1,12.8,6.6,2.1, ,,
New Zealand,-4.8,-3.9,8.6,4.3,8.8,5.0,-5.5,-9.5,10.5,3.1,1.6,9.5,..,..,..,..,..,..,..,.., ,,
Norway (1),-5.1,11.4,7.4,9.2,7.4,3.1,-10.6,9.7,5.5,-0.1,6.0,7.9,5.1,1.9,2.0,6.1,-3.4,8.1,6.0,2.7, ,,
Poland (1),11.8,8.8,8.6,12.9,13.4,1.5,-17.3,8.9,7.2,-9.1,1.6,2.7,..,-6.1,8.3,14.5,-11.1,-2.2,-4.4,15.5, ,,
Portugal (1),-6.6,7.3,6.6,7.1,7.1,5.5,-13.2,11.6,-3.0,-7.3,5.8,4.9,6.9,2.1,0.6,3.2,-1.8,7.4,4.1,1.5, ,,
Slovak Republic,..,..,..,..,..,-0.1,-8.9,1.0,-0.0,-3.8,0.4,1.1,3.9,0.8,2.5,0.4,-2.0,3.3,1.1,0.4, ,,
Slovenia,..,..,1.4,8.0,..,8.2,4.0,7.3,3.3,-0.4,4.4,2.7,9.7,6.2,6.9,0.9,-1.8,3.9,3.2,-1.2, ,,
Spain (10),..,..,..,..,..,..,-7.9,6.3,-1.7,-1.7,3.4,7.4,7.6,2.1,1.0,2.2,-4.3,7.7,1.8,1.2, ,,
Sweden (1),..,..,..,..,..,..,..,..,..,-1.0,7.9,6.7,10.6,2.7,4.6,4.9,-2.1,9.4,5.4,.., ,,
Switzerland (1),-7.2,4.9,2.8,9.2,5.3,0.2,-13.8,9.9,2.8,0.6,7.5,5.9,7.2,2.1,3.9,6.4,-3.5,10.0,5.1,6.2, ,,
Türkiye (2),..,..,..,22.1,1.4,13.2,0.9,17.6,1.9,-10.4,9.6,-7.6,5.6,-6.1,2.1,2.9,-9.4,7.4,4.3,-9.7, ,,
United States (1),-11.1,12.9,2.5,2.1,4.7,-0.6,-27.0,9.6,5.8,-3.8,5.4,10.2,3.4,-2.3,2.7,7.6,-6.5,9.8,7.8,3.0, ,,
Selected other jurisdictions,,,,,,,,,,,,,,,,,,,,,,,
Albania,..,..,..,..,..,..,4.8,4.7,5.6,2.8,3.2,3.7,4.3,4.0,2.1,2.5,2.0,2.8,2.4,-0.3, ,,
Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-11.4,-9.7,-15.3,-16.7, ,,
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,-1.7,5.3,15.0,10.5,2.5,12.5,7.3,-4.6, ,,
Bolivia,..,..,..,3.5,2.8,-2.9,-1.9,9.7,0.8,..,..,..,..,..,..,..,..,..,..,.., ,,
Botswana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.5,-0.5,5.7,-1.3,.., ,,
Brazil,..,..,..,..,..,12.8,..,..,..,..,..,..,..,..,..,..,2.1,..,..,.., ,,
Bulgaria,6.8,4.1,7.5,1.9,1.7,2.4,-29.4,7.9,0.5,-3.0,2.9,6.3,6.8,1.9,4.9,3.9,-6.0,2.8,2.3,-2.5, ,,
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,9.9,11.3,7.6,1.2,0.2,7.0,1.6,0.9, ,,
Dominican Republic (2),..,..,..,9.0,6.2,-0.4,7.2,7.8,4.3,7.0,10.0,9.0,9.9,8.2,8.0,6.3,6.2,6.3,4.0,8.3, ,,
Egypt,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-10.1,-8.0,0.9,5.8,8.4,5.8, ,,
El Salvador,..,..,..,1.5,1.2,1.4,-2.2,5.4,2.4,-2.1,4.4,1.5,3.4,1.3,4.7,2.6,3.7,6.2,4.3,-0.5, ,,
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3,7.7,-3.2, ,,
Ghana,..,..,..,..,..,..,..,..,..,..,..,..,3.4,5.4,4.0,..,..,..,..,-9.8, ,,
Gibraltar,..,..,..,..,..,..,..,..,..,..,-0.6,0.4,..,..,..,..,..,..,..,.., ,,
Guyana,..,..,..,..,..,..,..,..,..,..,..,..,..,2.6,-0.2,3.0,2.7,-0.3,-0.1,-4.6, ,,
Hong Kong (China) (11),..,..,..,..,..,..,..,24.7,4.7,-16.1,8.5,2.9,-3.2,-5.8,-0.3,20.3,-11.5,9.1,12.7,-2.6, ,,
India (12),..,..,..,..,..,..,..,..,..,-3.2,0.6,-6.2,12.8,0.7,..,..,..,0.3,8.4,1.4, ,,
Indonesia,..,..,..,..,..,..,..,..,..,0.6,6.7,-4.9,6.7,2.8,7.8,7.4,0.6,5.3,7.0,4.0, ,,
Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.6,0.9,2.7,1.7, ,,
Kenya,..,..,..,..,..,..,-14.3,1.0,12.4,-24.2,..,9.8,6.6,..,0.9,5.3,0.5,..,0.6,2.9, ,,
Kosovo,..,..,..,..,..,..,..,..,..,..,..,7.5,6.8,2.1,3.1,5.7,-8.2,7.1,3.2,3.2, ,,
Liechtenstein,..,..,..,..,..,..,-8.4,9.5,2.8,-1.3,-1.5,6.7,5.1,7.6,3.3,5.9,-4.9,9.8,4.0,5.2, ,,
Macau (China),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.4,6.9,-0.5, ,,
Malawi,..,..,..,..,..,..,..,..,..,..,..,13.3,0.1,-7.8,-4.8,17.8,9.8,1.3,5.1,.., ,,
Maldives,..,..,..,..,..,..,..,..,..,-10.0,1.4,4.4,7.2,6.8,3.8,4.9,6.2,3.7,6.5,5.0, ,,
Malta (1),..,..,..,..,..,..,..,..,..,-4.9,0.6,-0.2,0.3,-2.4,5.0,3.5,..,..,2.8,5.8, ,,
Mauritius (13),..,..,..,..,..,..,..,..,..,..,..,..,..,5.1,-1.4,..,..,..,..,.., ,,
Morocco,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.7, ,,
Mozambique,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.9,..,.., ,,
Namibia,..,..,..,..,..,..,..,..,..,5.0,7.5,11.0,4.7,..,-4.5,3.1,..,..,4.3,11.9, ,,
Nigeria,..,..,..,..,..,..,..,..,-0.8,-6.3,-0.0,4.5,0.0,-0.5,-5.7,0.1,-1.9,-0.5,2.2,-8.2, ,,
North Macedonia,..,..,..,..,..,..,-15.0,16.1,3.9,-1.0,3.0,6.5,7.2,5.8,6.1,2.8,0.3,10.1,1.6,4.6, ,,
Pakistan,..,..,..,..,..,..,-25.5,1.9,-3.4,-1.2,9.8,11.2,15.3,9.3,..,-10.2,-6.5,-3.0,2.4,-6.5, ,,
Panama,..,..,..,..,..,..,..,..,..,..,..,..,4.3,3.9,4.2,5.2,3.6,6.5,7.0,0.7, ,,
Papua New Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.9,-0.0,..,..,.., ,,
Peru,8.4,15.7,0.4,10.7,25.5,16.6,-29.8,26.8,17.3,-14.1,9.2,-2.5,3.7,0.0,5.6,5.0,-4.8,10.1,6.3,-2.4, ,,
Romania,..,..,..,..,..,..,12.4,11.1,6.6,-0.3,5.2,8.9,7.8,5.0,5.0,1.1,-1.8,7.1,4.9,-1.8, ,,
Russia,..,..,..,..,..,..,..,..,..,..,..,-0.3,-7.4,-2.0,5.3,2.4,-1.4,4.9,0.2,.., ,,
Serbia,..,..,..,..,..,-4.9,-13.7,6.8,-2.6,-1.3,-0.5,8.6,8.8,13.5,5.8,3.4,4.5,6.1,0.8,-5.0, ,,
Singapore,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.5,3.4,3.1,3.9,-0.1, ,,
South Africa (14),..,5.7,2.4,2.7,16.3,8.3,-5.0,-2.4,8.6,2.6,5.0,9.9,8.8,3.7,-0.9,1.3,-0.1,1.2,-2.9,.., ,,
Suriname,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-17.0,-0.5,-0.4,6.7,-26.3,-24.9, ,,
Tanzania,..,..,..,..,..,..,..,..,..,..,..,..,..,6.2,0.1,..,..,..,..,.., ,,
Thailand,..,..,..,..,..,..,..,2.8,-0.9,-0.7,4.2,0.2,5.2,1.7,3.4,4.5,-1.7,2.2,-0.8,2.0, ,,
Trinidad and Tobago,..,..,..,..,..,1.1,..,6.0,..,2.7,3.4,..,..,..,..,..,..,6.1,2.5,.., ,,
Uganda,..,..,..,..,..,..,..,..,..,..,..,..,13.7,9.1,5.6,10.9,15.8,5.2,9.1,11.1, ,,
Ukraine,..,..,..,..,..,..,..,..,7.5,5.6,..,..,..,..,..,3.2,4.1,8.2,4.1,.., ,,
Uruguay,..,..,..,..,..,..,..,..,..,..,..,..,5.0,3.1,1.0,13.4,-0.1,3.8,0.5,3.8, ,,
Zambia,..,..,..,-1.1,9.1,-8.7,1.1,5.5,7.3,6.0,1.8,8.1,6.2,-0.9,0.5,10.3,4.8,-1.5,-4.9,-0.0, ,,
Zimbabwe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-19.2, ,,
,,,,,,,,,,,,,,,,,,,,,,,
"Note:  Data have been calculated using a common formula for the average nominal net investment return (ratio between the net investment income at the end of the year and the average level of assets during the year) for all the jurisdictions except for: Austria (2011-2012), Finland (2015), France, Ireland, Israel, Japan, the Netherlands (2021), Sweden (2011-2018), Türkiye (2011, 2013-2014, 2016-2017) among OECD countries; and Angola, Armenia, Botswana (2017), Georgia (2019), Ghana (2014-2016), Hong Kong (China), India (2011, 2013-2014), Kazakhstan (2018), Kenya (2011), Macau (China) (2019), Malawi (2013), Maldives, Malta (2011), Mauritius, Morocco, Namibia (2016), Papua New Guinea (2017), Romania (2010), Russia (2013), Suriname (2016), Tanzania (2015), Trinidad and Tobago (2019), Uganda, Ukraine (2010, 2017-2018), and Zambia for which values have been provided by the jurisdictions or are from national official publications. Data for Bolivia, Costa Rica (before 2008), the Dominican Republic (before 2018 and for 2021), El Salvador, Panama and Uruguay (before 2016) are from AIOS. Investment returns for the United States have been calculated based on data available on the FRB website. Investment returns for a given year N are calculated over the period end-December of year N-1 and end-December of year N for all jurisdictions, except: Australia (over end-June N-1 and end-June N); Japan and New Zealand (over end-March N-1 and end-March N). The average real net investment returns are calculated using the nominal rates of return (as described above) and the variation of the consumer price index over the relevant period. Investment returns are net of investment expenses. Pension authorities may produce their own estimates of annual investment returns that may differ from OECD estimates (due to different methodologies or scopes for instance), such as in the case of Lithuania and Türkiye. (1) Data refer to pension funds only. (2) Data refer to personal pension plans only. (3) Data refer to pension funds and pension insurance contracts only. (4) Data refer to the second pension pillar only. (5) Source: AFG. Data refer to PERCO plans only. (6) Data refer to new pension funds only. (7) Investment returns are net of taxes. (8) Data for 2017 to 2021 refer to the end of March and represent an average calculated over a sample of DB plans for the fiscal years 2016 to 2020 respectively. (9) Data refer to personal pension insurance contracts only. (10) Data refer to pension funds and book reserves only. (11) Data refer to MPF schemes only. (12) Data refer to the National Pension Scheme and Atal Pension Yojana. (13) Results are calculated over a sample of plans, which changes over the years. (14) Data refer to pension funds supervised under the Pension Funds Act only.

Source: OECD Global Pension Statistics.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
