Table 1
Return to the menu,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table A.B.5. Total benefits paid from funded and private pension plans, 2001-2021",,,,,,,,,,,,,,,,,,,,,,
As a percentage of GDP,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Korea (11),..,0.8,0.8,0.5,0.7,0.8,0.8,0.7,1.0,1.3,1.2,1.6,2.2,2.8,3.0,3.1,3.1,3.5,..,3.9,4.1, 
Latvia,..,..,..,..,..,..,..,..,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1, 
Lithuania,..,..,..,..,..,..,..,..,..,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1, 
Luxembourg (12),..,..,..,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2, 
Mexico (13),0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.4,0.4,0.5,0.6,0.7,0.7, 
Netherlands,2.8,2.9,3.0,3.1,3.2,3.3,3.3,3.3,3.6,3.7,3.9,4.0,4.0,4.1,4.0,4.1,4.0,4.0,3.9,4.2,.., 
New Zealand,2.3,2.1,1.9,1.4,1.3,1.5,1.3,1.4,1.9,1.3,1.3,1.4,1.7,..,..,..,..,..,..,..,.., 
Norway (1),0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2, 
Poland,..,..,..,..,..,0.0,..,..,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,..,.., 
Portugal (14),..,1.0,0.8,0.8,0.8,0.9,0.9,1.3,1.0,0.7,0.8,0.4,0.4,0.4,0.4,0.5,1.4,1.3,1.3,1.7,1.8, 
Slovak Republic,..,..,..,..,..,..,..,..,..,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2, 
Slovenia,..,..,..,0.0,0.0,..,0.0,0.0,0.0,0.0,0.5,0.9,0.5,0.4,0.4,0.5,0.3,0.2,0.2,0.2,0.2, 
Spain (15),..,0.6,0.4,0.5,0.5,0.6,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.5,0.5,0.7,0.5, 
Sweden,..,..,..,..,..,..,..,..,..,..,1.3,1.5,1.6,..,..,..,..,..,..,..,.., 
Switzerland (1),4.2,4.4,4.6,4.7,4.7,4.7,4.6,4.6,4.9,4.4,4.5,4.6,4.6,4.7,4.8,4.9,5.0,5.0,5.2,5.5,5.6, 
Türkiye (16),..,..,..,..,..,..,..,..,0.0,0.0,..,0.0,..,0.0,..,..,..,0.1,0.1,0.1,0.1, 
United Kingdom,2.5,2.6,2.6,2.5,2.6,2.7,2.5,2.6,2.9,3.0,2.9,3.0,3.0,2.8,2.8,2.7,2.7,..,2.8,3.0,2.9, 
United States (17),6.0,6.1,5.7,6.0,5.8,6.2,6.5,6.7,6.5,7.2,6.8,7.4,7.8,7.9,8.0,7.9,8.1,8.3,8.3,..,.., 
Selected other jurisdictions,,,,,,,,,,,,,,,,,,,,,,
Albania,..,..,..,..,..,..,..,..,..,..,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.1, 
Armenia (18),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0,0.1,0.5,0.6,.., 
Botswana,..,..,..,..,..,..,..,..,..,..,..,..,2.4,..,..,..,..,2.2,1.2,1.7,.., 
Brazil (19),..,..,..,..,..,0.8,0.8,0.9,0.9,0.9,1.1,..,0.6,0.6,0.7,0.7,0.9,0.8,..,0.8,.., 
Bulgaria,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1, 
Croatia (20),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0,0.0,0.2,0.2, 
Dominican Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,..,0.4,0.4,0.6,.., 
Egypt,..,..,..,..,..,..,..,0.3,..,..,..,..,..,..,..,0.2,0.2,0.2,0.2,0.2,0.2, 
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,.., 
Ghana,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0,..,..,..,0.1,..,..,.., 
Gibraltar (21),..,..,..,..,..,..,..,..,..,..,0.1,0.0,0.3,0.0,..,..,..,..,..,..,.., 
Guyana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,0.1,0.1,0.1,0.0,0.1,0.1, 
Hong Kong (China) (22),..,..,..,..,..,..,..,..,..,0.5,0.5,0.6,0.7,0.8,0.9,0.9,0.9,0.9,0.9,1.1,1.4, 
Indonesia,..,0.1,0.1,0.1,0.1,0.1,..,..,..,..,0.1,..,..,..,0.1,0.2,0.2,0.2,0.2,0.2,0.2, 
Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,0.2,0.2,0.3, 
Kenya,..,..,..,..,..,..,..,0.1,0.1,0.7,0.4,..,0.5,0.5,..,..,..,..,..,1.1,0.8, 
Kosovo,..,..,..,..,..,..,..,..,..,..,..,..,0.2,0.3,0.3,0.3,..,..,..,3.5,.., 
Liechtenstein,..,..,..,..,..,..,3.1,3.6,4.3,5.8,6.1,3.0,2.8,2.6,2.5,2.9,2.9,3.0,3.3,3.5,.., 
Macau (China),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3,0.7,0.9, 
Malawi,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0,0.2,0.2,0.2,0.3,0.3,0.4,1.0, 
Maldives,..,..,..,..,..,..,..,..,..,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2, 
Malta,..,..,..,..,..,..,..,..,..,..,0.0,0.3,0.9,1.4,1.3,2.1,2.4,..,2.7,2.1,2.2, 
Mauritius (23),..,..,..,..,..,0.1,..,..,..,..,..,0.1,0.2,..,..,0.2,0.2,0.1,0.4,..,0.5, 
Morocco,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,0.5, 
Mozambique,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0,0.1,0.1,0.1,0.1,0.1,0.2, 
Namibia,..,..,..,..,..,..,..,..,..,3.1,2.6,2.7,3.3,3.4,..,3.8,..,..,..,..,.., 
Nigeria,..,..,..,..,..,..,0.0,0.1,0.1,0.1,0.3,0.2,0.4,..,0.5,0.6,0.3,0.2,0.2,..,.., 
North Macedonia,..,..,..,..,..,..,..,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
Pakistan,..,..,..,..,..,..,..,..,..,..,..,0.0,0.0,0.0,..,..,..,0.0,..,0.0,0.0, 
Panama,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0,..,..,..,..,.., 
Papua New Guinea,..,..,..,..,..,..,..,..,..,..,..,..,1.3,..,..,..,..,..,..,..,.., 
Peru (24),0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.9,0.9,1.2,1.3,1.0,1.6, 
Romania,..,..,..,..,..,..,..,..,0.0,..,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
Russia,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,0.1,0.1,0.1,0.1,0.1,0.1,.., 
Serbia,..,..,..,..,..,..,0.0,..,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
South Africa (25),..,..,..,..,..,..,..,..,..,2.7,2.6,2.7,2.7,3.2,3.4,3.8,3.7,..,..,..,.., 
Suriname,..,0.2,0.5,0.3,0.5,0.2,..,..,..,..,..,..,..,..,..,0.3,..,..,..,0.4,.., 
Tanzania,..,..,..,..,..,..,..,..,..,..,..,..,1.4,1.7,..,1.6,1.3,..,..,..,.., 
Thailand,..,..,..,..,..,..,..,..,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,.., 
Trinidad and Tobago,..,..,..,..,..,0.5,0.4,..,0.8,..,0.5,0.5,..,..,..,..,..,..,..,..,.., 
Uganda,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.9, 
Ukraine,..,..,0.0,..,..,..,..,0.0,..,0.0,0.0,..,..,..,..,..,..,..,..,..,.., 
Zambia,0.6,0.6,0.6,0.5,0.4,0.5,0.3,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.4,0.3,0.6, 
,,,,,,,,,,,,,,,,,,,,,,
"Note: Benefits refer to the sum of lump sum and pensions paid from retirement savings plans in a given year. (1) Data refer to pension funds only. (2) Data cover pension funds, and individual pension savings from 2017 onwards. (3) Data refer to pension payments and cash withdrawals from trusteed pension funds. Source: Statistics Canada (Table:11-10-0079-01). (4) Data include personal plans, occupational plans and first pillar pension plans (alternative regime schemes for teachers and judicial workers). (5) Data refer to benefits paid by pension funds and pension insurance contracts only. (6)  Data refer to benefits paid by the second pension pillar only. (7) Source: DREES. There is a change in the calculation method of benefits from 2018. (8) The break in series in 2013 comes from the transformation of four funds operating on a pay-as-you-go basis into funded occupational schemes. (9) Data on pension insurance contracts are included from 2008 onward. Benefits paid from pension insurance contracts are OECD estimates for 2017 and 2018. (10) Data only refer to benefits paid by pension funds and from book reserves (included from 2005 onwards). (11) Data refer to benefits paid from (occupational) retirement pension plans and personal pension insurance contracts. (12) The break in series in 2005 is due to the inclusion of pension funds supervised by the CSSF, not included in previous years. (13) The break in series in 2005 is due to the inclusion of occupational pension plans registered by the National Commission for the Retirement Savings System (CONSAR) since 2005, not included in previous years. Data for occupational pension plans for 2021 refer to 2020 instead, as 2021 data were not available at the time of the drafting of this report. (14) Data cover closed and open pension funds and personal retirement saving funds (established as pension funds or as collective investment schemes managed by investment companies), and since 2017 personal plans offered by life insurance companies as well. (15) Data refer to benefits paid by pension funds and from book reserves only. (16) Data refer to personal plans only. (17) Data refer to benefits paid from occupational plans and IRAs. (18) Benefits include payments to heirs and dependants. (19) Data refer to benefits paid by closed pension funds only. (20) Data refer to benefit payments by pension insurance companies only. (21) Data for one DB pension scheme is missing for 2014, hampering the data comparability with previous years. (22) Data refer to MPF schemes only. (23) Data refer to some occupational voluntary pension schemes only. (24) Data refer to benefits paid by AFPs only. (25) Source: FSCA Annual Reports. Data cover pensions and lump sum payments (on retirement or death) by all retirement funds in South Africa. 

Source: OECD Global Pension Statistics.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
