Table 1
Return to the menu,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Table A.B.9. Allocation of assets in funded and private pension plans in bills and bonds, 2001-2021",,,,,,,,,,,,,,,,,,,,,,,
As a percentage of total investment,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,exposure,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Poland (1),direct,68.0,67.8,62.4,59.9,63.1,62.1,61.0,74.9,66.5,59.4,62.4,55.8,51.8,9.5,10.4,9.7,7.4,7.4,8.3,8.8,6.0, 
Portugal (14),varies,49.8,50.9,43.4,43.1,42.7,37.6,39.5,52.2,56.5,50.2,45.0,45.9,45.6,45.5,52.0,58.1,69.2,70.7,75.2,75.3,71.8, 
Slovak Republic (15),varies,..,..,53.5,..,11.2,44.3,49.0,66.3,68.4,68.4,67.9,68.5,66.3,68.8,65.1,64.5,57.8,58.6,56.6,59.4,51.8, 
Slovenia,direct,..,..,74.9,80.0,78.0,69.6,67.6,69.8,69.4,63.2,61.6,63.7,66.5,59.9,65.3,62.5,59.6,60.1,57.5,57.5,50.8, 
Spain (1),varies,58.1,60.9,55.0,56.7,57.7,64.1,59.6,51.7,56.4,53.6,57.6,55.7,56.7,56.0,53.2,50.6,45.5,45.2,44.8,53.0,48.4, 
Sweden,direct,41.0,53.2,52.4,50.7,38.7,30.4,28.2,38.3,27.0,24.6,29.7,27.9,23.5,21.7,18.7,15.7,14.5,16.1,14.4,13.0,9.1, 
Switzerland (1),varies,28.0,29.3,28.3,27.4,27.4,25.8,24.4,40.8,37.8,36.5,37.3,35.2,33.6,34.1,32.7,31.9,30.6,31.4,30.3,29.4,27.8, 
Türkiye (16),total,..,..,..,73.9,81.1,73.1,65.2,70.1,70.0,58.6,..,58.4,69.0,63.3,58.4,54.1,50.5,54.9,51.5,63.9,62.1, 
United Kingdom (17),varies,18.8,22.8,21.9,20.8,19.5,20.7,23.7,26.0,25.2,24.9,28.2,28.4,28.9,32.1,32.6,33.9,34.0,34.0,41.2,41.7,40.9, 
United States,direct,25.8,28.2,25.7,24.9,24.0,22.0,21.9,27.8,25.4,25.0,26.1,25.6,22.6,22.9,23.1,22.5,20.7,23.3,21.4,20.4,18.5, 
Selected other jurisdictions,,,,,,,,,,,,,,,,,,,,,,,
Albania,total,..,..,..,..,..,..,28.2,67.9,58.2,48.6,96.8,97.1,96.7,92.0,90.6,94.7,94.7,96.0,94.8,95.6,91.5, 
Angola,direct,..,..,..,..,..,..,..,..,..,..,..,..,..,0.4,6.2,28.3,33.4,31.9,31.6,27.3,34.7, 
Armenia,direct,..,..,..,..,..,..,..,..,..,..,..,..,..,35.2,46.6,45.5,41.1,39.4,35.6,39.1,40.5, 
Botswana,varies,..,..,..,..,..,..,..,..,..,..,..,..,34.5,..,..,..,21.9,17.7,16.2,17.2,.., 
Brazil (18),varies,..,..,..,..,..,29.2,18.0,58.6,54.8,53.1,53.5,..,53.2,54.9,61.2,63.3,62.0,61.6,54.3,51.9,73.9, 
Bulgaria,direct,56.7,64.0,74.0,74.8,70.3,51.9,45.6,54.8,45.2,44.1,51.8,57.6,54.1,56.8,56.5,55.2,60.9,56.8,66.5,60.8,54.9, 
Croatia (19),total,..,..,..,..,..,..,..,..,..,..,..,..,..,72.5,73.2,72.4,73.4,70.7,70.8,70.4,65.5, 
Dominican Republic,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.9,97.8,94.4,92.9,.., 
Egypt,total,..,..,..,..,..,..,..,68.1,..,..,..,..,..,..,..,70.1,69.4,73.1,75.7,78.7,79.0, 
Georgia,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0,0.0,0.0, 
Ghana,direct,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70.1,69.6,90.7,91.8,77.2,88.9, 
Gibraltar (20),total,..,..,..,..,..,..,..,..,..,..,28.4,21.4,28.8,45.1,..,..,..,..,..,..,.., 
Guyana,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.5,22.5,22.8,18.9,15.8,14.2,11.5, 
Hong Kong (China) (21),total,..,28.3,30.8,31.6,28.4,25.1,26.1,28.9,27.2,26.5,25.6,24.8,22.7,21.7,22.4,22.7,20.9,24.3,23.5,22.8,21.1, 
India (22),total,..,..,..,..,..,..,..,..,..,..,84.5,85.8,85.0,86.0,85.9,84.5,82.2,82.9,83.4,81.2,78.8, 
Indonesia,direct,..,..,..,..,..,..,..,..,..,..,46.3,..,..,..,40.3,45.4,44.6,45.2,47.7,46.7,49.8, 
Jamaica,varies,..,..,..,..,..,..,52.3,53.4,56.3,73.8,69.1,71.6,70.4,71.3,63.2,58.8,52.6,48.4,46.6,46.5,46.0, 
Kazakhstan,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,87.8,85.7,88.1,85.3, 
Kenya,varies,31.3,36.9,33.5,34.2,33.1,30.9,..,35.6,26.5,26.2,35.2,39.5,38.1,32.5,..,48.2,40.4,42.9,43.4,45.1,46.1, 
Liechtenstein,total,..,..,..,..,..,..,39.3,39.4,38.1,42.3,45.6,45.3,43.7,43.0,45.7,41.4,38.6,40.5,38.1,37.9,33.4, 
Macau (China),total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62.4,60.1,59.3, 
Malawi,total,..,..,..,..,..,..,..,..,..,..,..,..,..,23.7,25.2,38.0,37.1,39.3,31.9,34.5,33.2, 
Maldives,total,..,..,..,..,..,..,..,..,..,93.9,85.9,91.8,93.1,92.1,92.7,94.1,92.9,92.8,92.2,91.9,92.2, 
Malta,direct,..,..,..,..,..,..,..,..,..,..,..,..,21.8,17.9,13.7,12.8,11.3,..,4.9,6.2,4.1, 
Mauritius,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.0,32.4,..,34.4,40.6,34.1, 
Morocco,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.0,..,..,39.9, 
Mozambique,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.3,38.2,70.6,66.0,70.7,70.4,75.1, 
Namibia (1),total,..,..,..,..,..,..,..,..,..,21.9,24.6,22.0,21.6,20.9,..,24.8,24.0,28.5,27.2,29.9,29.4, 
Nigeria,varies,..,..,..,..,..,..,34.3,33.3,40.0,47.0,63.4,63.7,66.1,69.4,73.0,78.9,76.1,88.4,90.1,87.8,77.0, 
North Macedonia,total,..,..,..,..,..,..,59.8,47.9,57.4,58.4,62.0,66.0,62.0,58.5,60.3,61.3,61.3,57.3,58.9,60.0,60.4, 
Pakistan,total,..,..,..,..,..,..,24.1,35.4,41.9,49.7,58.8,52.8,39.5,44.0,34.1,23.2,18.5,16.5,16.4,28.7,23.1, 
Panama,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.1,..,..,..,..,.., 
Papua New Guinea,total,..,..,..,..,..,..,..,..,..,..,..,..,23.6,..,..,..,29.8,33.2,..,..,.., 
Peru,total,51.2,40.4,41.8,48.1,50.1,50.0,46.7,58.0,47.2,42.9,47.3,48.2,39.5,43.8,43.2,46.9,43.6,46.1,51.5,44.6,40.1, 
Romania,varies,..,..,..,..,..,..,21.8,84.4,82.3,79.9,76.1,82.3,74.8,75.6,73.1,71.3,68.3,71.7,71.3,73.8,69.0, 
Russia,varies,..,..,..,..,..,..,..,..,..,..,..,..,59.5,61.7,63.4,61.2,68.8,74.0,76.0,81.6,.., 
Serbia,total,..,..,..,..,..,..,38.7,..,71.8,66.1,75.7,70.7,85.1,86.8,82.8,77.3,84.1,83.5,81.6,76.7,77.1, 
Singapore (23),total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.., 
South Africa (24),varies,..,..,14.5,18.0,2.5,8.6,7.5,7.9,7.6,7.7,7.7,8.2,8.1,9.0,8.8,9.3,9.1,9.4,9.3,10.0,.., 
Suriname,varies,..,37.0,51.0,38.0,34.0,37.0,..,..,..,..,..,..,..,..,..,33.7,21.7,18.9,18.2,21.6,25.9, 
Tanzania,direct,..,..,..,..,..,..,..,..,..,..,..,..,..,11.5,22.4,25.7,29.6,..,..,..,.., 
Thailand,varies,88.8,82.6,66.5,75.1,73.8,70.1,75.9,77.1,76.0,72.2,72.2,59.8,53.5,48.1,52.7,55.6,56.4,58.7,65.8,68.0,64.3, 
Trinidad and Tobago,total,..,..,..,..,..,23.6,21.7,..,47.1,..,45.2,43.4,..,..,..,..,..,..,44.0,44.0,.., 
Uganda,total,..,..,..,..,..,..,..,..,..,..,..,..,..,62.9,68.3,70.4,73.1,73.8,75.8,76.5,76.6, 
Ukraine,total,..,..,..,..,..,..,..,27.3,..,30.7,40.1,..,..,..,..,..,..,57.0,53.8,53.9,.., 
Uruguay,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72.5,77.6,69.7,55.2,59.9,59.0, 
Zambia,varies,19.5,21.0,16.3,30.5,27.8,29.7,22.2,22.2,23.0,21.4,26.1,27.5,26.0,30.8,22.0,26.0,18.8,21.0,22.8,24.6,35.7, 
Zimbabwe,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.0,1.4, 
,,,,,,,,,,,,,,,,,,,,,,,
"Note: The “Other” category includes loans, land and buildings, unallocated insurance contracts, hedge funds, private equity funds, structured products, other mutual funds (i.e. not invested in equities, bills and bonds or cash and deposits) and other investments. Negative values (due to derivatives) have been excluded from the calculations of the allocation of pension plan assets. The OECD Global Pension Statistics exercise gathers information on the investments of pension plan assets in collective investment schemes (CIS) and the look-through of these investments in equities, bills and bonds, cash and deposits and other. Data on asset allocation in the Tables include both direct investments in equities, bills and bonds, cash and deposits and indirect investments through CIS when the look-through of CIS investments is available. In such case, the Tables show the overall exposure of pension plan assets in the selected asset classes. When the look-through is not available, the Tables only show the direct investments of pension plan assets in equities, bills and bonds, cash and deposits and other assets; the sum of investments in these four categories is not equal to 100% and the difference to 100% corresponds to the share of pension assets invested in collective investment schemes. There has been a change in the reporting of investments in CIS and the related look-through over the period for Belgium, Chile, Colombia, Estonia, Greece, Hungary, Israel, Italy, Latvia, Luxembourg, Portugal, Slovak Republic, Spain, Switzerland and the United Kingdom among OECD countries; and for Botswana, Brazil, Jamaica, Kenya, Nigeria, Romania, Russia, South Africa, Suriname, Thailand and Zambia among non-OECD jurisdictions.

(1) Data refer to pension funds only. (2) Data cover pension funds, and individual pension savings from 2017 onwards. Data on individual pension savings for 2021 refer to 2020 instead. (3) There is a break in series in 2021 due to the redesign of the underlying quarterly survey used for data collection and to the changes in some definitions. (4) Data include occupational plans from 2015 onwards, and first pillar pension plans (alternative regime schemes for teachers and judicial workers) from 2017 onwards. (5) Data refer to pension funds and pension insurance contracts. (6) Data refer to the second pension pillar only. (7) Data refer to pension insurance contracts only. (8) Data are estimates; the breakdown of investments through CIS has not been approved by external auditors yet and is not available for Pensionsfonds. (9) Data include pension funds, and all other financing vehicles (except pension insurance contracts) from 2010 onwards. (10) Data refer to DB plans only. (11) Source: Bank of Japan. Claims of pension funds on pension managers are excluded from the calculations of the asset allocation of Japan’s pension funds. The high value for the “Other” category in Japan is mainly driven by outward investments in securities. (12) Data refer to (occupational) retirement pension plans and personal pension insurance contracts. (13) The break in series in 2005 is due to the inclusion of occupational pension plans registered by the National Commission for the Retirement Savings System (CONSAR) since 2005, not included in previous years. Data for occupational plans for 2021 refer to 2020 instead. (14) Data cover closed and open pension funds and personal retirement saving funds (established as pension funds or as collective investment schemes managed by investment companies), and since 2017 personal plans offered by life insurance companies as well. (15) The break in series in 2006 is due to the inclusion of voluntary pension plans, not included in previous years. (16) Data refer to personal plans only. (17) Data for 2019 onwards come from a new ONS survey. (18) Data refer to closed pension funds only. (19) Data include pension insurance companies from 2018 onwards. (20) Data for one DB pension scheme is missing for 2014, hampering the data comparability with previous years. (21) Data cover MPF schemes and MPF-exempted ORSO registered schemes only. (22) Data refer to the National Pension Scheme and Atal Pension Yojana. (23) Source: CPF's website. (24) Data refer to pension funds supervised under the Pension Funds Act only.

Source: OECD Global Pension Statistics.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
