Table 1
Return to the menu,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Table A.B.2. Total assets in funded and private pension plans, in USD million, 2001-2021",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,
Germany,"67,538","77,654","99,584","116,973","112,275","132,659","170,371","165,634","187,938","187,280","192,912","221,112","236,932","236,204","220,177","227,312","270,925","268,546","290,520","338,469","325,103", ,,
Greece (6),..,..,..,..,..,..,36,47,65,71,95,113,"1,350","1,322","1,236","1,254","1,605","1,584","1,750","2,016","2,083", ,,
Hungary (7),"2,127","3,403","4,744","7,854","8,724","12,055","16,026","13,662","18,142","19,001","4,406","5,029","5,506","5,043","4,819","7,040","8,770","7,968","8,495","8,922","8,844", ,,
Iceland (8),"6,349","8,615","11,876","16,686","19,726","21,628","28,097","14,679","15,460","18,199","18,579","19,892","24,547","24,244","26,651","32,359","40,256","38,796","43,642","47,612","54,207", ,,
Ireland (9),"45,077","46,992","70,035","84,905","91,937","115,559","127,487","88,399","104,011","100,883","93,549","106,212","126,188","136,535","122,324","107,781","127,770","125,746","148,913","162,459","175,066", ,,
Israel,"27,246","28,353","31,802","34,434","41,012","47,692","58,235","80,751","94,678","112,423","112,840","130,095","153,613","154,305","165,228","177,293","215,030","203,224","259,912","300,489","360,569", ,,
Italy (10),"29,399","36,731","48,179","56,533","55,900","69,507","87,511","88,422","107,690","113,502","119,887","141,035","163,359","162,889","154,991","165,238","200,850","197,817","218,475","256,417","254,454", ,,
Japan,"697,779","1,042,316","1,279,237","1,206,025","1,340,293","1,312,783","1,318,350","1,603,241","1,578,100","1,770,244","1,853,893","1,713,999","1,448,078","1,342,604","1,361,257","1,357,479","1,409,427","1,425,643","1,472,417","1,594,752","1,487,779", ,,
Korea (11),..,"42,665","47,554","60,867","69,382","70,666","76,051","62,432","87,419","160,878","191,996","249,292","292,781","326,939","343,462","364,392","445,243","455,007","480,768","560,037","551,075", ,,
Latvia,20,44,84,141,198,325,639,"1,065","1,643","1,785","1,826","2,192","2,650","2,813","2,917","3,340","4,448","4,660","5,701","7,004","7,638", ,,
Lithuania,..,..,..,..,..,..,..,..,..,"1,515","1,564","1,887","2,221","2,330","2,376","2,713","3,613","3,739","4,517","5,723","6,944", ,,
Luxembourg (12),..,..,..,127,378,467,550,542,"1,215","1,067","1,076","1,190","1,323","1,801","1,572","1,659","1,941","1,853","2,020","2,246","2,187", ,,
Mexico (13),"27,188","31,516","35,737","42,779","77,925","97,911","112,399","98,125","116,944","146,062","142,650","181,574","194,770","195,521","175,939","156,503","185,638","194,031","241,099","264,178","281,589", ,,
Netherlands,"404,910","417,138","609,553","723,380","730,883","884,866","1,137,127","932,779","979,401","1,015,666","1,055,652","1,229,054","1,335,092","1,282,009","1,266,434","1,360,625","1,631,230","1,538,570","1,773,745","2,100,028","2,068,577", ,,
New Zealand,"7,443","7,419","8,641","11,053","12,532","12,406","14,100","15,384","12,371","19,275","23,929","28,406","33,831","40,496","39,729","45,370","53,975","54,327","65,769","80,111","90,144", ,,
Norway (14),"9,370","12,148","15,432","18,901","19,282","23,441","29,655","21,934","30,310","33,135","33,627","39,454","40,908","37,380","34,210","36,899","42,103","40,013","43,983","49,398","51,788", ,,
Poland (15),"4,754","8,110","12,028","20,952","26,436","40,752","58,453","47,493","64,137","75,846","67,590","89,244","102,911","47,052","40,470","41,038","57,642","47,987","47,761","48,934","57,321", ,,
Portugal (16),"13,066","18,097","23,001","23,726","25,589","31,683","37,158","30,421","33,686","28,262","18,546","20,433","22,268","22,469","21,288","21,092","45,601","44,543","49,318","54,606","52,539", ,,
Slovak Republic (17),..,..,8,..,283,"1,743","3,366","4,417","5,713","6,523","7,503","8,994","9,926","9,645","8,750","9,523","11,965","12,038","13,324","16,192","17,469", ,,
Slovenia,..,..,344,669,843,"1,276","1,823","2,006","2,582","2,828","2,882","2,995","3,209","3,110","2,927","2,963","3,591","3,595","3,940","4,616","4,624", ,,
Spain,..,"85,241","116,531","136,723","130,359","160,133","194,787","175,805","192,369","179,583","172,642","180,437","199,630","183,600","168,044","164,241","189,361","173,297","182,494","199,627","194,509", ,,
Sweden,"70,560","93,883","115,642","156,698","155,130","234,208","274,643","236,822","242,122","280,019","322,190","377,350","399,517","383,674","374,146","389,264","505,464","470,566","539,366","663,486","705,712", ,,
Switzerland (18),"262,862","300,344","364,040","427,752","412,865","477,970","537,946","506,274","581,203","661,168","664,571","734,001","907,735","880,703","892,586","909,681","1,022,637","995,523","1,150,124","1,330,796","1,390,599", ,,
Türkiye (19),..,..,..,222,916,"2,001","3,895","4,185","6,047","7,652","7,291","11,005","11,877","15,694","15,886","16,547","21,073","17,541","21,325","23,069","18,430", ,,
United Kingdom (20),"1,072,925","1,019,320","1,294,504","1,538,432","1,647,240","2,079,092","2,120,228","1,309,982","1,631,332","1,793,722","1,886,205","2,146,167","2,364,943","2,300,810","2,278,921","2,205,296","2,653,018","2,638,795","3,142,717","3,507,626","3,751,713", ,,
United States,"11,226,402","10,565,163","12,413,754","13,748,809","14,605,439","16,390,662","17,669,759","13,931,285","16,190,427","17,936,170","18,096,472","19,936,486","22,734,674","23,935,896","23,981,656","25,288,021","28,747,415","27,681,791","32,113,819","35,777,405","40,027,760", ,,
Selected other jurisdictions,,,,,,,,,,,,,,,,,,,,,,,,
Albania (21),..,..,..,..,..,..,1,1,2,3,1,3,4,5,7,10,16,21,27,36,43, ,,
Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,774","1,781",885,901,792,848,865,861, ,,
Argentina (22),..,"11,650","16,139","18,306","22,055","28,902","29,283",..,..,..,..,..,..,..,..,..,..,..,..,..,.., ,,
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,26,65,131,219,329,524,708,"1,006", ,,
Bolivia,..,"1,095","1,461","1,693","2,025","2,256","2,876","3,740","4,456","5,387",..,..,..,..,..,..,..,..,..,..,.., ,,
Botswana,..,..,..,..,..,..,..,..,..,..,..,..,"6,731",..,..,..,"8,310","7,523","8,768","9,748",.., ,,
Brazil (23),..,..,..,..,..,"198,285","246,577","176,571","279,061","319,785","308,273","315,153","273,965","411,790","310,806","439,507","487,618","449,315","467,906","404,028","393,490", ,,
Bulgaria,84,179,331,553,674,"1,025","1,749","1,660","2,326","2,714","3,042","3,848","4,807","5,089","5,248","5,834","7,813","7,881","9,038","10,921","11,360", ,,
China (People’s Republic of) (24),..,..,..,"5,957","8,426","11,654","20,809","27,961","37,096","42,413","56,659","76,650","98,896","125,658","146,746","159,357","197,801","215,526","257,407","344,259","409,707", ,,
Croatia (25),..,327,863,"1,556","1,872","2,936","4,375","4,566","6,018","6,840","7,395","9,353","10,982","11,157","11,291","12,428","15,532","16,110","18,091","20,828","21,566", ,,
Dominican Republic (26),..,..,..,..,374,646,966,"1,371","1,897","2,408","3,055","3,829","4,543","6,897","7,386","8,505","9,174","11,282","11,246","11,785",.., ,,
Egypt,..,..,..,..,..,..,..,"3,969",..,..,..,..,"5,081","5,552","5,512","2,665","3,598","3,965","5,024","5,774","7,230", ,,
El Salvador,..,"1,061","1,572","2,148","2,881","3,470","4,054","4,535","5,127","5,688","6,181","6,863","7,398","8,054","8,637","9,315","10,166","10,881","11,775","12,452","12,964", ,,
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,177,355,639, ,,
Ghana,..,..,..,..,..,..,..,..,..,..,..,..,..,807,"1,231","1,617","2,496","2,700","3,138","3,823","4,665", ,,
Gibraltar (27),..,..,..,..,..,..,..,..,..,..,35,39,42,11,..,..,..,..,..,..,.., ,,
Guyana,..,..,..,..,..,..,..,110,126,134,148,169,195,201,220,228,245,298,337,367,426, ,,
Hong Kong (China),"24,486","27,690","29,312","38,424","44,323","52,821","64,567","60,531","67,536","78,246","79,645","90,496","103,045","110,226","115,248","123,100","148,280","148,705","166,592","189,982","198,208", ,,
India,..,..,..,..,..,..,..,..,..,"70,351","68,579","79,496","83,253","97,693","111,784","132,428","167,806","181,818","212,591","249,045",.., ,,
Indonesia,"3,233","4,497","5,601","5,960","6,195","8,310","9,333","7,904","11,496","13,983","15,058","15,900","12,930","14,963","14,506","17,035","18,843","18,029","20,369","21,701","22,215", ,,
Isle of Man,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"5,106","14,360","13,733","16,070","16,507","19,287", ,,
Jamaica,..,..,..,"1,603",..,"1,968","2,470","2,448","2,490","3,026","3,276","3,137","2,864","2,958","3,292","3,537","4,230","4,750","5,353","4,674","4,635", ,,
Kazakhstan,"1,156","1,706","2,342","3,872","4,708",..,..,..,..,..,..,..,..,..,..,..,..,"24,869","28,253","30,689","31,291", ,,
Kenya,"1,093","1,392","1,752","2,014","2,589","3,506","4,207","3,504","4,140","5,346","5,419","6,380","8,072","8,344","7,957","9,588","10,463","11,452","12,811","12,814","13,677", ,,
Kosovo,..,..,..,..,..,..,..,..,..,..,..,946,"1,267","1,328","1,291","1,510","1,982","1,934","2,220","2,453","2,676", ,,
Lesotho,..,..,..,..,..,..,..,..,..,..,272,308,..,..,..,..,..,..,..,..,.., ,,
Liechtenstein,..,..,..,..,..,..,"1,986","2,131","2,647","3,696","3,748","3,925","4,434","4,275","4,974","5,219","6,075","5,966","7,431","8,860","9,439", ,,
Macau (China),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"3,785","4,532","4,914", ,,
Malawi,..,..,..,..,..,..,..,..,..,..,..,..,409,525,456,523,727,944,"1,154","1,320","1,555", ,,
Malaysia (28),..,..,..,..,..,..,..,..,..,..,..,21,91,205,273,338,549,648,855,"1,184","1,348", ,,
Maldives,..,..,..,..,..,..,..,..,..,207,218,280,345,423,510,600,691,793,903,"1,019","1,143", ,,
Malta,..,..,..,..,..,..,..,..,..,..,45,759,"1,692","2,599","3,425","4,116","5,596",..,"7,296","8,670","8,916", ,,
Mauritius (29),..,..,..,..,..,..,..,..,..,..,..,227,265,..,482,528,633,..,"1,517","1,427","1,435", ,,
Morocco,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"6,461",..,..,"7,544", ,,
Mozambique,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72,52,108,155,178,158,224, ,,
Namibia,..,..,..,..,..,..,..,..,..,"9,636","8,532","10,088","9,877","10,117",..,"10,008","12,496","11,628","12,196","12,112","13,302", ,,
Nigeria,..,..,..,..,..,..,"6,910","8,291","10,142","13,418","15,435","20,041","25,801","27,178","26,913","20,213","24,560","28,136","33,284","32,299","32,644", ,,
North Macedonia,..,..,..,..,..,..,75,116,205,270,340,457,608,664,724,841,"1,136","1,228","1,413","1,783","1,999", ,,
Pakistan,..,..,..,..,..,..,11,9,12,16,20,33,58,102,146,216,217,189,194,223,224, ,,
Panama,..,..,..,..,..,..,..,108,..,161,216,..,333,384,427,478,537,557,624,643,697, ,,
Papua New Guinea,..,..,..,..,..,..,..,..,..,..,..,..,"3,549",..,..,..,"3,734","3,825",..,..,.., ,,
Peru,"3,620","4,527","6,369","7,943","9,497","14,411","20,377","15,888","23,979","31,083","30,371","37,982","36,521","38,360","36,386","41,177","49,078","46,283","52,753","45,533","33,436", ,,
Romania,..,..,..,..,..,..,6,330,842,"1,455","2,053","3,051","4,513","5,471","6,254","7,666","10,677","12,176","15,139","19,684","21,168", ,,
Russia,..,..,..,..,..,..,..,..,..,..,..,..,"117,179","70,850","65,767","87,038","96,907","81,456","99,560","87,489",.., ,,
Serbia,..,..,..,..,..,4,57,74,108,125,154,190,238,238,260,281,366,389,432,492,473, ,,
Singapore (30),..,..,..,..,..,..,..,..,..,..,"159,255","187,819","199,671","208,113","211,578","226,914","268,449","285,802","314,528","345,742","370,054", ,,
South Africa (31),"68,905","100,393","136,913","193,927","202,991","232,554","284,670","211,966","253,943","331,501","298,395","323,385","306,107","317,525","259,622","302,975","346,106","312,355","330,276",..,.., ,,
Suriname,..,170,140,217,234,263,..,..,..,..,..,..,..,..,..,310,452,467,480,355,324, ,,
Tanzania,..,..,..,..,..,..,..,..,..,..,..,..,"2,986","3,889","4,115","4,155","4,444",..,..,..,.., ,,
Thailand,"5,041","5,674","7,257","7,820","8,430","10,845","13,100","13,333","15,506","19,165","19,532","22,847","22,965","25,529","24,667","27,334","33,373","35,094","40,794","42,198","40,366", ,,
Trinidad and Tobago,..,..,..,..,..,"3,353","3,690","4,103","4,991","5,374","4,612","5,062",..,..,..,..,..,..,"7,964","8,140",.., ,,
Uganda,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,817","1,888","2,072","2,487","3,070","3,542","4,161","5,460", ,,
Ukraine,..,..,5,..,..,..,..,80,..,144,174,..,..,..,..,..,88,99,133,123,.., ,,
Uruguay,..,893,"1,232","1,678","2,153","2,586","3,384","2,872","5,104","6,694","7,765","10,146","10,508","10,957","10,613","12,483","16,295","15,438","15,195","16,143","17,351", ,,
Zambia,142,151,253,222,352,333,541,424,500,595,616,750,838,782,516,671,789,728,662,525,745, ,,
Zimbabwe (32),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,983,"1,348","2,935", ,,
Regional indicators (33),,,,,,,,,,,,,,,,,,,,,,,,
Total OECD,"15,262,124","15,221,556","18,410,418","20,641,425","22,216,090","25,374,579","28,175,901","23,020,117","26,137,026","29,104,216","29,972,226","32,752,630","36,224,066","37,303,864","36,784,136","38,423,790","44,185,030","42,663,476","48,750,010","54,308,166","58,893,043",,,
Total selected non-OECD,"107,759","161,405","211,543","293,893","319,781","580,127","726,074","558,597","739,751","979,866","1,108,522","1,239,633","1,373,064","1,542,534","1,413,072","1,688,993","1,996,423","1,985,801","2,211,834","1,999,975","1,733,646",,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Note: The total amount of investments of funded and private pension plans is taken as a proxy of the total amount of assets in these plans. (1) Data refer to Pensionskassen only. (2) Data cover pension funds, pension insurance contracts (since 2005) and individual pension savings (since 2017). Net technical provisions are taken as a proxy of assets in pension insurance contracts. (3) The method used to estimate the assets of trusteed pension funds changed in 2021 following the redesign of a quarterly survey used for data collection. (4) Data include occupational plans from 2015 onwards, and first pillar pension plans (alternative regime schemes for teachers and judicial workers) from 2017 onwards. (5) The break in series in 2011 comes from the exclusion of public buffer funds, included before. (6) The break in series in 2013 comes from the transformation of four funds operating on a pay-as-you-go basis into funded occupational schemes. (7) The drop of assets in 2011 comes from a pension reform that suspended payments to mandatory individual schemes and redirected all the contributions to pay-as-you-go public pension schemes, unless workers chose to keep these individual pension schemes by the end of January 2011. The break in series in 2016 is due to the inclusion of individual retirement accounts (available through banks and investment companies) and pension insurance products, not included before. (8) Data on pension insurance contracts are included from 2008 onward. (9) Data on personal retirement savings accounts are included from 2014 onwards. The decrease in DC assets for Ireland in 2016 arose from a change in methodology (previously estimation based on industry reports). Estimates are now based on the aggregation of data submitted on an annual basis to the pensions supervisor by individual DC schemes. (10) Data include book reserves, with net technical provisions taken as a proxy of pension assets. (11) The amount in 2019 is an OECD estimate, with the amount of assets in personal plans estimated based on 2018 and 2020 data. (12) The break in series in 2005 is due to the inclusion of pension funds supervised by the CSSF, not included in previous years. (13) The break in series in 2005 is due to the inclusion of occupational pension plans registered by the National Commission for the Retirement Savings System (CONSAR) since 2005, not included in previous years. Data for occupational pension plans for 2021 refer to 2020 instead, as 2021 data were not available at the time of the drafting of this report. (14) Data refer to pension funds only. (15) The drop in investments in 2014 is due to the reversal of the mandatory private pension system that led to a transfer of domestic sovereign bonds held by open pension funds into the social security system. (16) The drop of assets in 2011 is the result of the transfer of bank pension funds (i.e. pension funds sponsored by banks and having as beneficiaries the employees of their banks) to the Public Retirement System. Data cover closed and open pension funds and personal retirement saving funds (established as pension funds or as collective investment schemes managed by investment companies), and since 2017 personal plans offered by life insurance companies as well. (17) The break in series in 2006 is due to the inclusion of voluntary pension plans, not included in previous years. (18) Data cover occupational plans, and personal plans from 2013 onwards. Data on personal plans for 2021 refer to 2020 instead. (19) Data refer to personal plans only. (20) Data refer to gross assets of pension funds (excluding derivatives). (21) The break in series in 2011 is due to a change in legislation, withdrawals and the unavailability of data from one of the three funds that was operating under the old framework. (22) A pension reform led to the transfer of pension fund assets to the National Social Security Administration. (23) The break in series in 2014 is due to the inclusion of open entities (under the supervision of SUSEP), not included before. (24) Data refer to enterprise annuities. (25) Data include pension insurance companies from 2018 onwards. (26) Data include occupational plans from 2014 onwards. (27) Data for one DB pension scheme is missing for 2014, hampering the data comparability with previous years. (28) Data refer to the net asset value of private retirement schemes (PRS) and can be retrieved in the annual reports of the Securities Commission Malaysia. (29) Data refer to some occupational voluntary pension schemes only. (30) Data cover all the accounts of the CPF, which may not all be earmarked for retirement purposes (e.g. the Medisave account). (31) Data refer to the amount of assets of all funds (including those not supervised under the Pension Funds Act such as the Government Employees Pension Fund (GEPF) established by separate statutes). Data can be retrieved on the FSCA website (annual reports). (32) Data refer to occupational plans only, and do not cover the NSSA nor the Government Pension Scheme. (33) Totals in a given year are calculated on all the jurisdictions for which a value is available. The number of jurisdictions that the totals include may therefore vary over the years.

Source: OECD Global Pension Statistics.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
