Table 1
Return to the menu,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table A.B.6. Annual nominal investment rates of return of funded and private pension plans, 2002-2021",,,,,,,,,,,,,,,,,,,,,
In per cent,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Kenya,..,..,..,..,..,..,8.6,6.4,17.5,-9.9,..,17.6,13.1,..,7.3,10.0,6.3,..,6.2,8.8, 
Kosovo,..,..,..,..,..,..,..,..,..,..,..,8.1,6.3,2.0,4.5,6.2,-5.6,8.4,3.3,10.1, 
Liechtenstein,..,..,..,..,..,..,-7.8,9.8,3.3,-2.0,-2.0,6.8,4.7,6.2,3.3,6.8,-4.2,10.0,3.2,6.8, 
Macau (China),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.1,6.0,0.5, 
Malawi,..,..,..,..,..,..,..,..,..,..,..,36.0,24.2,15.2,14.2,26.1,20.7,13.0,13.1,19.0, 
Maldives,..,..,..,..,..,..,..,..,..,5.0,6.6,7.9,7.8,7.7,6.2,6.2,5.3,5.1,5.1,5.0, 
Malta (1),..,..,..,..,..,..,..,..,..,-0.2,0.6,0.8,0.4,-1.3,6.1,4.7,..,..,3.0,8.5, 
Mauritius (13),..,..,..,..,..,..,..,..,..,..,..,..,..,6.4,0.9,..,..,..,..,.., 
Morocco,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.0, 
Mozambique,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.8,..,.., 
Namibia,..,..,..,..,..,..,..,..,..,12.7,14.4,16.5,9.6,..,2.5,8.4,..,..,6.8,16.9, 
Nigeria,..,..,..,..,..,..,..,..,10.8,3.4,11.9,12.8,8.0,9.1,11.8,15.4,9.3,11.4,18.3,6.2, 
North Macedonia,..,..,..,..,..,..,-10.6,14.2,7.0,1.8,7.9,7.9,6.6,5.5,5.8,5.3,1.1,10.6,3.8,9.6, 
Pakistan,..,..,..,..,..,..,-9.3,10.9,11.5,8.5,18.5,21.4,20.2,12.8,..,-6.1,-0.7,10.3,10.5,5.0, 
Panama,..,..,..,..,..,..,..,..,..,..,..,..,5.3,4.2,5.7,5.8,3.8,6.4,5.3,3.4, 
Papua New Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.6,4.3,..,..,.., 
Peru,10.0,18.5,3.9,12.3,26.9,21.2,-25.2,27.1,19.8,-10.0,12.0,0.5,7.1,4.2,9.1,6.6,-2.4,12.1,8.6,4.5, 
Romania,..,..,..,..,..,..,19.5,16.4,15.1,2.9,10.4,10.6,8.7,4.1,4.5,4.5,1.4,11.4,7.0,6.2, 
Russia,..,..,..,..,..,..,..,..,..,..,..,6.2,3.1,10.6,11.0,5.0,2.8,8.1,5.1,.., 
Serbia,..,..,..,..,..,5.8,-6.3,13.9,7.4,5.6,11.6,11.0,10.7,15.2,7.4,6.5,6.6,8.1,2.1,2.4, 
Singapore,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.9,3.9,3.9,3.9,3.9, 
South Africa (14),..,4.0,4.7,4.8,21.9,16.5,3.8,3.6,12.4,9.0,11.1,15.6,14.7,9.0,6.0,5.8,4.4,5.2,0.1,.., 
Suriname,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.4,8.7,5.0,11.2,18.5,20.6, 
Tanzania,..,..,..,..,..,..,..,..,..,..,..,..,..,13.5,5.1,..,..,..,..,.., 
Thailand,..,..,..,..,..,..,..,6.4,2.1,2.8,7.9,1.9,5.8,0.9,4.6,5.3,-1.4,3.1,-1.1,4.2, 
Trinidad and Tobago,..,..,..,..,..,8.8,..,7.5,..,8.2,10.8,..,..,..,..,..,..,6.5,3.3,.., 
Uganda,..,..,..,..,..,..,..,..,..,..,..,..,16.0,18.2,11.6,14.6,18.4,8.9,13.0,14.3, 
Ukraine,..,..,..,..,..,..,..,..,17.2,10.4,..,..,..,..,..,17.3,14.3,12.6,9.3,.., 
Uruguay,..,..,..,..,..,..,..,..,..,..,..,..,13.7,12.8,9.1,20.8,7.8,12.9,10.0,12.1, 
Zambia,..,..,..,14.6,18.1,-0.5,17.8,16.0,14.6,12.3,9.3,15.8,14.6,20.0,8.0,17.0,13.0,10.0,13.4,16.3, 
Zimbabwe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.8, 
,,,,,,,,,,,,,,,,,,,,,
"Note:  Data have been calculated using a common formula for the average nominal net investment return (ratio between the net investment income at the end of the year and the average level of assets during the year) for all the jurisdictions except for: Austria (2011-2012), Finland (2015), France, Ireland, Israel, Japan, the Netherlands (2021), Sweden (2011-2018), Türkiye (2011, 2013-2014, 2016-2017) among OECD countries; and Angola, Armenia, Botswana (2017), Georgia (2019), Ghana (2014-2016), Hong Kong (China), India (2011, 2013-2014), Kazakhstan (2018), Kenya (2011), Macau (China) (2019), Malawi (2013), Maldives, Malta (2011), Mauritius, Morocco, Namibia (2016), Papua New Guinea (2017), Romania (2010), Russia (2013), Suriname (2016), Tanzania (2015), Trinidad and Tobago (2019), Uganda, Ukraine (2010, 2017-2018), and Zambia for which values have been provided by the jurisdictions or are from national official publications. Data for Argentina, Bolivia, Costa Rica (before 2008), the Dominican Republic (before 2018 and for 2021), El Salvador, Panama and Uruguay (before 2016) are from AIOS. Investment returns for the United States have been calculated based on data available on the FRB website. Investment returns for a given year N are calculated over the period end-December of year N-1 and end-December of year N for all jurisdictions, except: Australia (over end-June N-1 and end-June N); Japan and New Zealand (over end-March N-1 and end-March N). Investment returns are net of investment expenses. Pension authorities may produce their own estimates of annual investment returns that may differ from OECD estimates (due to different methodologies or scopes for instance), such as in the case of Lithuania and Türkiye. (1) Data refer to pension funds only. (2) Data refer to personal pension plans only. (3) Data refer to pension funds and pension insurance contracts only. (4) Data refer to the second pension pillar only. (5) Source: AFG. Data refer to PERCO plans only. (6) Data refer to new pension funds only. (7) Investment returns are net of taxes. (8) Data for 2017 to 2021 refer to the end of March and represent an average calculated over a sample of DB plans for the fiscal years 2016 to 2020 respectively. (9) Data refer to personal pension insurance contracts only. (10) Data refer to pension funds and book reserves only. (11) Data refer to MPF schemes only. (12) Data refer to the National Pension Scheme and Atal Pension Yojana. (13) Results are calculated over a sample of plans, which changes over the years. (14) Data refer to pension funds supervised under the Pension Funds Act only.

Source: OECD Global Pension Statistics.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
