Table 1
Return to the menu,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table A.B.13. Share of investments of funded and private pension plans in assets issued in foreign currencies, 2001-2021",,,,,,,,,,,,,,,,,,,,,,
As a percentage of total investment,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Mexico (6),..,..,..,..,1.0,1.0,1.2,2.3,2.8,4.5,4.1,3.6,3.6,3.5,3.7,4.5,4.1,3.9,3.5,2.5,2.0, 
Netherlands,..,..,..,..,..,..,45.9,26.9,36.2,45.8,43.5,44.3,45.2,..,50.9,53.8,52.3,51.0,52.3,51.5,54.6, 
Norway (1),..,..,..,..,..,..,..,16.1,14.2,15.5,14.2,12.0,16.0,15.0,17.1,14.3,10.8,9.9,9.7,10.1,10.2, 
Poland (7),0.4,1.4,0.8,2.1,1.7,1.3,1.0,0.6,..,..,0.5,0.8,1.4,7.7,12.2,7.3,6.4,6.1,6.8,8.1,10.0, 
Portugal (8),6.8,4.2,6.7,8.3,8.6,9.5,10.4,6.6,6.4,4.3,5.0,4.6,6.2,3.9,4.3,3.4,7.4,6.9,6.5,5.8,6.5, 
Slovak Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.2,7.7,7.9,7.2,8.3,8.3,8.7, 
Slovenia,..,..,..,17.5,16.8,..,..,..,..,..,..,..,..,..,4.1,4.3,5.0,4.0,5.4,5.8,7.2, 
Sweden (9),33.1,29.4,29.5,29.9,36.8,19.6,19.2,22.3,18.0,15.6,17.1,15.3,16.0,12.1,11.0,10.6,10.1,10.6,9.5,9.5,8.3, 
Switzerland (1),24.9,24.5,25.4,26.2,28.7,29.8,29.4,25.8,29.0,29.6,29.7,31.4,32.7,34.6,34.6,36.0,36.7,35.4,36.7,37.4,37.6, 
Türkiye (6),..,..,..,12.8,8.2,12.0,3.5,6.2,5.2,..,..,..,..,..,..,..,..,10.8,11.7,13.6,16.7, 
Selected other jurisdictions,,,,,,,,,,,,,,,,,,,,,,
Botswana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2,1.0,.., 
Bulgaria,..,..,0.0,0.0,0.7,8.0,17.1,50.0,47.1,34.6,37.2,60.2,61.1,69.2,44.4,47.8,58.2,55.7,61.7,65.0,69.2, 
Croatia (10),..,..,..,..,..,..,..,..,..,..,..,..,..,59.3,56.6,53.3,54.8,51.8,51.0,59.8,60.2, 
Guyana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.2,22.5,19.8, 
Jamaica,..,..,..,..,..,..,..,..,..,..,..,5.2,6.1,8.1,8.4,9.5,7.9,8.5,6.4,7.3,.., 
Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.2,33.3,25.1,32.1, 
Malta,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.7,68.7,63.5, 
Namibia,..,..,..,..,..,..,..,..,..,..,..,..,..,43.3,..,..,..,..,..,..,.., 
Nigeria (11),..,..,..,..,..,..,5.4,..,..,..,..,..,..,..,0.4,0.6,14.0,5.1,..,..,.., 
North Macedonia (12),..,..,..,..,..,..,35.3,29.5,1.5,54.4,72.9,63.1,68.8,69.4,73.9,76.4,79.9,74.2,68.6,66.3,63.6, 
Panama,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.7,..,..,..,..,.., 
Peru,4.8,7.2,8.8,10.1,10.1,8.5,13.2,12.4,21.0,26.2,28.6,29.4,35.2,40.6,40.1,37.5,42.5,43.8,44.9,49.6,43.4, 
Romania,..,..,..,..,..,..,..,..,..,..,4.3,3.6,2.7,3.9,4.9,9.9,5.1,4.8,4.7,4.7,5.2, 
Russia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0,.., 
Suriname,..,43.0,57.0,42.0,37.0,42.0,..,..,..,..,..,..,..,..,..,28.3,..,..,..,14.3,.., 
Thailand,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.7,0.8,0.7,0.7,0.9,1.0,.., 
Trinidad and Tobago,..,..,..,..,..,4.8,4.2,..,2.7,..,3.8,4.0,..,..,..,..,..,..,..,..,.., 
Uruguay,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.9,10.9,15.3,27.5,20.0,6.4, 
Zambia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,5.6,10.2,8.0, 
,,,,,,,,,,,,,,,,,,,,,,
"Note: (1) Data refer to pension funds only. (2) Data include occupational plans from 2015 onwards, and first pillar pension plans (alternative regime schemes for teachers and judicial workers) from 2017 onwards. (3) Data refer to the second pension pillar only. (4) Assets in foreign currencies include investments in securities issued by Hungarian entities in foreign currencies. (5) Data on pension insurance contracts and other financing vehicles are included after 2007. (6) Data refer to personal plans only. (7) Data refer to open pension funds only. (8) Data cover closed and open pension funds and personal retirement saving funds (established as pension funds or as collective investment schemes managed by investment companies), and since 2017 personal plans offered by life insurance companies as well. (9) Data refer to pension insurance contracts only. (10) Data include pension insurance companies from 2018 onwards. (11) Data refer to DB schemes only. (12) Data include assets overseas issued by entities located abroad and Macedonian government bonds denominated in euros.

Source: OECD Global Pension Statistics.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
