Table 1
Return to the menu,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Table A.B.4. Contributions into funded and private pension plans, 2001-2021",,,,,,,,,,,,,,,,,,,,,,,
As a percentage of GDP,,,,,,,,,,,,,,,,,,,,,,,
Selected OECD countries,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,
Finland,..,..,..,..,..,..,..,..,..,..,1.5,1.5,1.4,1.4,1.3,1.3,1.4,1.4,1.4,1.4,1.7,,
France (9),..,..,..,..,0.5,0.5,0.6,0.6,0.7,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.7,..,,
Germany,0.1,0.1,0.2,0.2,0.3,0.3,0.7,0.3,0.4,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.4,0.3,,
Greece (10),..,..,..,..,..,..,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,..,..,..,..,..,..,..,,
Hungary (11),1.1,1.1,1.3,1.4,1.5,1.5,1.1,1.4,1.6,1.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,,
Iceland (12),..,..,9.2,8.3,9.1,8.7,11.3,7.7,7.3,7.3,6.8,6.7,6.5,6.6,6.8,7.3,11.5,9.8,9.9,10.7,10.5,,
Israel,1.6,1.6,1.6,1.3,1.8,1.8,1.7,1.9,2.0,2.1,2.3,2.4,2.7,2.9,3.0,..,..,..,..,..,..,,
Italy (13),0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1.0,1.0,,
Korea (14),..,1.4,1.2,1.0,1.1,1.9,1.4,0.8,1.3,..,2.1,3.6,3.8,5.1,5.0,5.0,4.8,4.9,..,5.6,5.8,,
Latvia,..,..,..,..,..,..,..,..,2.4,2.0,2.0,1.7,1.9,2.3,2.6,3.1,3.8,3.3,3.4,3.7,4.5,,
Lithuania,..,..,..,..,..,..,..,..,..,0.4,0.4,0.3,0.4,0.5,0.6,0.8,0.8,0.9,0.8,0.9,1.0,,
Luxembourg (15),..,..,..,0.0,0.1,0.1,0.1,0.2,1.1,0.8,0.2,0.2,0.3,0.9,0.3,0.3,0.3,0.4,0.3,0.2,0.2,,
Mexico (16),0.9,0.8,0.8,0.7,0.7,1.0,0.8,1.2,1.0,1.0,1.0,1.0,1.0,1.1,1.1,1.0,1.0,1.0,1.2,1.2,1.1,,
Netherlands,2.6,3.4,4.1,4.3,4.6,4.1,3.9,4.2,4.8,4.5,4.7,5.0,5.2,5.0,4.1,4.1,4.4,4.2,4.4,5.0,4.5,,
New Zealand (17),..,..,..,..,..,..,..,..,1.1,1.4,1.4,1.5,1.4,1.7,1.9,1.9,1.9,2.0,2.1,2.2,2.3,,
Norway (1),0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.5,,
Poland (18),1.1,1.2,1.2,1.3,1.5,1.5,1.5,1.7,1.6,1.7,1.1,0.6,0.8,0.6,0.3,0.3,0.3,0.3,0.3,0.4,0.6,,
Portugal (19),..,3.2,1.2,1.4,2.5,1.3,0.8,1.5,0.7,0.5,0.7,0.6,0.4,1.2,0.8,0.7,2.1,2.2,2.5,1.9,2.1,,
Slovak Republic (20),..,..,0.0,..,0.1,0.5,3.6,4.6,6.2,1.5,1.3,1.3,0.8,0.8,0.8,0.9,0.9,1.0,1.1,1.2,1.4,,
Slovenia,..,..,..,0.3,0.3,..,0.6,0.7,0.8,0.8,0.8,0.8,0.6,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.6,,
Spain (21),..,1.3,0.9,1.1,1.0,1.1,0.7,0.8,0.7,0.8,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.4,0.5,0.6,0.3,,
Switzerland (1),5.8,6.1,6.5,6.7,6.9,6.9,7.5,7.5,7.4,7.4,7.4,7.4,8.2,8.0,8.0,7.9,7.9,7.8,8.1,9.5,8.3,,
Türkiye (22),..,..,..,0.1,0.2,0.3,0.4,0.5,0.7,0.8,..,1.0,0.4,0.4,..,..,..,0.5,0.6,0.6,0.5,,
United Kingdom,1.4,1.6,2.1,2.3,2.6,2.7,2.5,2.2,2.4,2.8,2.6,2.8,2.6,2.2,2.1,2.4,2.4,..,2.7,2.9,2.6,,
United States (23),4.9,5.0,4.9,5.0,4.9,5.0,5.1,5.1,5.1,5.1,5.0,5.0,5.2,5.2,5.2,5.2,5.3,5.3,5.3,..,..,,
Selected other jurisdictions,,,,,,,,,,,,,,,,,,,,,,,
Albania,..,..,..,..,..,..,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,
Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,0.2,0.1,0.1,0.2,0.4,0.2,0.2,,
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3,0.4,0.4,0.6,0.8,1.0,1.4,1.5,,
Botswana,..,..,..,..,..,..,..,..,..,..,..,..,2.0,..,..,..,..,2.5,2.5,3.1,..,,
Brazil (24),..,..,..,..,..,1.2,0.5,0.3,0.3,0.4,0.4,..,0.4,0.4,0.4,0.4,0.4,..,..,0.4,..,,
Bulgaria,0.4,0.6,0.5,0.6,0.7,0.7,1.0,1.0,1.0,0.9,1.0,1.0,1.1,1.2,1.4,1.3,1.4,1.4,1.4,1.5,1.5,,
Croatia (25),..,..,..,..,..,..,..,..,..,..,..,..,..,1.6,1.6,1.8,1.7,1.8,1.9,2.2,2.1,,
Dominican Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.7,7.1,7.6,8.5,..,,
Egypt,..,..,..,..,..,..,..,0.3,..,..,..,..,..,..,..,0.2,0.2,0.2,0.2,0.2,0.2,,
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.1,1.2,1.1,,
Ghana,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2,2.0,..,..,..,..,..,..,,
Gibraltar (26),..,..,..,..,..,..,..,..,..,..,0.2,0.2,0.2,0.0,..,..,..,..,..,..,..,,
Guyana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3,0.2,0.2,0.1,0.1,0.1,0.1,,
Hong Kong (China),..,3.4,3.1,3.2,3.0,2.9,2.8,2.9,3.6,3.1,3.0,3.2,3.4,3.4,3.6,3.9,3.4,3.4,3.5,3.9,3.6,,
India (27),..,..,..,..,..,..,..,..,..,..,0.2,0.1,..,..,..,..,..,..,..,..,..,,
Indonesia,..,0.2,0.2,0.3,0.2,0.2,..,..,..,..,0.1,..,..,..,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,
Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.4,1.4,1.5,1.6,,
Kenya,..,..,..,..,..,..,..,0.8,0.9,1.1,1.0,..,1.1,1.0,..,1.1,..,..,..,1.1,1.1,,
Kosovo,..,..,..,..,..,..,..,..,..,..,..,2.4,2.4,2.5,..,2.5,..,..,..,2.9,..,,
Liechtenstein,..,..,..,..,..,..,3.3,3.5,3.9,5.5,6.2,6.3,6.5,5.9,9.2,6.3,6.9,6.5,6.5,6.9,..,,
Macau (China),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0,2.3,1.8,,
Malawi,..,..,..,..,..,..,..,..,..,..,..,..,..,0.8,0.9,0.9,1.0,1.4,1.4,1.3,1.4,,
Maldives,..,..,..,..,..,..,..,..,..,7.7,1.5,1.6,1.5,1.4,1.4,1.4,1.4,1.3,1.4,2.0,1.6,,
Malta,..,..,..,..,..,..,..,..,..,..,0.5,7.7,9.7,11.8,11.4,11.3,9.5,..,8.0,6.6,5.9,,
Mauritius (28),..,..,..,..,..,0.2,..,..,..,..,..,0.2,0.3,..,..,0.6,0.3,0.8,0.9,..,1.2,,
Morocco,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.7,..,..,0.7,,
Mozambique,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0,0.0,0.1,0.1,0.1,0.1,0.2,,
Namibia,..,..,..,..,..,..,..,..,..,3.6,3.5,3.6,3.8,4.2,..,4.3,..,..,..,..,..,,
Nigeria,..,..,..,..,..,..,0.6,0.8,0.7,1.6,0.6,0.7,0.6,..,0.8,0.6,0.6,0.6,0.8,1.0,..,,
North Macedonia,..,..,..,..,..,..,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.9,1.0,1.0,1.1,1.1,1.3,1.5,1.4,,
Pakistan,..,..,..,..,..,..,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,..,..,..,0.0,..,0.0,0.0,,
Panama,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,..,..,..,,
Papua New Guinea,..,..,..,..,..,..,..,..,..,..,..,..,1.9,..,..,..,..,..,..,..,..,,
Peru,0.8,1.0,1.0,1.0,1.0,1.3,1.6,1.3,1.3,1.2,1.2,1.3,1.4,1.4,1.5,1.4,1.4,1.7,1.8,1.5,1.6,,
Romania,..,..,..,..,..,..,0.0,0.2,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.8,0.9,0.8,0.8,0.9,0.9,,
Russia,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,0.1,0.1,0.1,0.1,0.1,0.1,..,,
Serbia,..,..,..,..,..,..,0.1,..,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,
South Africa (29),..,..,..,..,..,..,..,3.9,4.0,4.2,4.3,4.5,4.5,4.7,4.8,4.8,4.7,4.8,4.8,..,..,,
Suriname,..,0.8,0.6,0.6,0.6,0.5,..,..,..,..,..,..,..,..,..,0.5,..,..,..,0.6,..,,
Tanzania,..,..,..,..,..,..,..,..,..,..,..,..,2.2,2.4,1.7,2.2,1.8,..,..,..,..,,
Thailand,..,..,0.5,0.6,0.8,0.8,0.8,0.9,0.7,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,1.0,1.0,..,,
Trinidad and Tobago,..,..,..,..,..,0.4,0.3,..,0.6,..,0.5,0.6,..,..,..,..,..,..,..,..,..,,
Uganda,..,..,..,..,..,..,..,..,..,..,..,..,..,0.9,0.9,0.9,1.0,1.0,1.1,1.1,1.2,,
Ukraine,..,..,0.0,..,..,..,..,0.1,..,0.1,0.0,..,..,..,..,..,..,..,..,..,..,,
Uruguay,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.7,1.3,1.7,1.8,1.8,1.7,,
Zambia,1.0,0.9,1.3,1.0,0.8,0.7,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,,
,,,,,,,,,,,,,,,,,,,,,,,
"Note: (1) Data refer to pension funds only. (2) Data cover pension funds, and individual pension savings from 2017 onwards. (3) Data refer to trusteed pension funds only. Source: Statistics Canada (Table:11-10-0079-01). (4) Data refer to contributions paid to AFPs only. (5) Data include personal plans, occupational plans and first pillar pension plans (alternative regime schemes for teachers and judicial workers). (6) Source: CNB ARAD database. Data include employer, employee and state contributions. (7) Data refer to contributions paid to pension funds and pension insurance contracts only. (8) Data refer to the second pension pillar only. From mid-2009 to 2011, the State temporarily suspended contributions to these plans. (9) Source: DREES. There is a change in the calculation method of contributions from 2018. (10) The break in series in 2013 comes from the transformation of four funds operating on a pay-as-you-go basis into funded occupational schemes. (11) Data refer to contributions paid into pension funds only. The drop in the contributions in 2011 comes from a pension reform which suspended payments to the mandatory funded individual schemes and redirected all the contributions to pay-as-you-go public pension schemes, unless workers chose to keep these individual schemes by the end of January 2011. (12) Data on pension insurance contracts are included from 2008 onward. Contributions paid to pension insurance contracts are OECD estimates for 2017 and 2018. In 2017, the municipalities and the government made an extra contribution to the pension fund of civil servants which was converted from DB to DC. (13) Data on pre-existing non-autonomous pension funds (i.e. created before the reform in 1993) are included from 2005 onwards. (14) Data refer to (occupational) retirement pension plans and personal pension insurance contracts. (15) The break in series in 2005 is due to the inclusion of pension funds supervised by the CSSF, not included in previous years. (16) The break in series in 2005 is due to the inclusion of occupational pension plans registered by the National Commission for the Retirement Savings System (CONSAR) since 2005, not included in previous years. Data for occupational pension plans for 2021 refer to 2020 instead, as 2021 data were not available at the time of the drafting of this report. (17) Data refer to employer, employee and state contributions to KiwiSaver plans for each financial year. (18) The decline in contributions in 2012 is likely due to a reduction of the contribution rate to open pension funds from 7.3% to 3.5% of salary following an amendment of the pension law in May 2011. Participation in the funded pension system became voluntary in 2014. Since 2019, workers are gradually automatically enrolled in a pension plan, with the possibility to opt out. (19) Data cover closed and open pension funds and personal retirement saving funds (established as pension funds or as collective investment schemes managed by investment companies), and since 2017 personal plans offered by life insurance companies as well. (20) The break in series in 2006 is due to the inclusion of voluntary pension plans, not included in previous years.  The decline in contributions between 2012 and 2013 is due to a change in the contribution rates (from 9% to 4% of salary). (21) Data refer to contributions paid to pension funds and book reserves. (22) Data refer to personal plans only. (23) Data refer to contributions paid into occupational plans and IRAs. (24)  Data refer to contributions paid to closed pension funds only. (25) Data include pension insurance companies from 2018 onwards. (26) Data for one DB pension scheme is missing for 2014, hampering the data comparability with previous years. (27) Data refer to the National Pension Scheme only. (28) Data refer to some occupational voluntary pension schemes only. (29) Source: FSCA Annual Reports. Data cover all retirement funds in South Africa.

Source: OECD Global Pension Statistics.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
