Table 1
Return to the menu,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table A.B.12. Share of assets in funded and private pension plans invested abroad, 2001-2021",,,,,,,,,,,,,,,,,,,,,,
As a percentage of total investment,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Israel,0.0,0.0,0.0,0.1,1.3,4.5,6.1,5.1,7.3,9.3,11.0,12.3,15.7,17.7,16.0,17.3,17.5,18.8,20.1,22.2,22.4, 
"Italy (1,7)",..,..,..,..,..,..,..,..,..,..,..,56.5,59.6,59.9,60.4,58.8,62.7,63.0,64.7,66.6,69.0, 
Japan (8),23.5,17.0,15.2,17.9,18.1,20.2,20.6,17.9,18.8,19.5,18.1,20.0,22.3,24.5,22.8,22.9,24.0,23.4,25.3,25.9,27.0, 
Korea (9),..,4.7,3.9,3.8,3.9,5.5,6.7,4.5,5.4,5.5,5.0,4.3,4.4,5.6,7.3,10.9,11.6,12.6,..,12.2,12.3, 
Latvia,..,..,..,..,..,..,..,..,37.5,40.1,49.0,54.7,53.9,57.6,56.1,66.4,78.3,80.9,83.7,86.8,90.2, 
Lithuania,..,..,..,..,..,..,..,..,..,74.4,68.5,70.1,78.8,74.1,68.8,74.9,72.7,75.5,90.1,90.4,87.8, 
Mexico (10),..,..,..,..,..,..,7.0,6.3,6.4,7.0,7.8,10.2,12.1,12.7,12.3,11.3,12.8,9.6,10.6,13.4,14.2, 
Netherlands,..,..,..,..,..,..,67.2,81.7,82.3,82.8,78.3,78.7,79.7,81.7,81.3,88.0,87.4,86.5,87.7,90.8,88.8, 
New Zealand,..,..,..,..,..,..,..,..,..,..,..,..,..,50.3,48.8,49.2,49.2,50.1,50.4,51.3,57.2, 
Norway (1),..,..,..,..,..,..,..,26.4,27.2,26.7,26.8,28.5,29.0,29.7,29.7,28.8,27.6,27.7,28.1,29.2,27.6, 
Poland (11),0.4,1.4,0.8,2.1,1.7,1.3,1.0,0.6,..,..,0.5,0.8,1.4,3.8,8.0,7.3,6.4,6.1,6.8,8.1,10.0, 
Portugal (12),47.3,48.2,43.6,53.1,50.9,49.4,48.7,59.3,64.1,48.3,57.0,54.1,57.4,52.2,60.1,63.9,61.4,65.1,76.9,80.8,83.8, 
Slovak Republic,..,..,..,..,..,..,45.7,33.9,53.7,52.1,41.6,47.6,59.5,67.0,72.0,74.9,72.7,74.1,77.4,83.1,85.3, 
Slovenia,..,..,..,17.5,7.4,..,34.2,30.8,31.6,34.8,36.2,38.2,37.0,39.6,48.6,53.1,61.0,63.1,65.2,69.7,72.3, 
Sweden (13),34.1,30.0,30.0,30.7,37.7,33.1,22.5,26.0,23.1,21.7,22.4,21.6,22.6,18.6,12.3,16.2,15.7,14.4,15.5,15.4,14.2, 
Switzerland (1),4.5,4.8,5.6,6.3,7.0,8.0,8.5,34.7,37.8,38.2,37.5,38.2,39.3,40.7,39.8,40.8,41.0,39.4,40.1,40.4,40.2, 
Türkiye (14),..,..,..,1.8,0.9,0.7,0.5,0.5,0.4,0.1,..,0.6,..,..,..,..,..,3.1,3.6,2.3,3.7, 
United Kingdom,21.8,21.1,22.0,22.2,24.8,24.9,24.7,24.3,23.6,23.4,22.0,21.3,20.8,22.5,20.5,19.2,17.7,14.0,12.9,14.1,14.0, 
Selected other jurisdictions,,,,,,,,,,,,,,,,,,,,,,
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,11.4,30.4,29.4,28.1,..,..,..,.., 
Botswana,..,..,..,..,..,..,..,..,..,..,..,..,30.1,..,..,..,..,57.8,62.3,64.8,.., 
Brazil (15),..,..,..,..,..,..,..,..,..,..,0.1,..,0.1,0.1,0.3,0.2,0.3,0.4,..,1.0,2.3, 
Bulgaria,0.0,0.0,0.0,0.5,1.2,8.1,17.9,27.0,34.4,36.7,37.6,41.1,46.4,54.6,52.0,47.8,58.2,55.7,61.7,65.0,69.2, 
Croatia (16),..,..,..,..,..,..,..,..,..,..,..,..,..,13.1,13.3,9.2,11.2,11.8,15.6,18.2,23.3, 
Guyana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.6,22.5,19.6,18.9,25.2,22.5,19.8, 
Hong Kong (China) (17),..,73.6,72.3,80.2,76.5,70.9,52.1,53.4,49.9,49.6,49.8,48.3,48.0,46.4,46.1,47.5,46.6,45.3,45.8,46.7,.., 
Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.8,22.6,25.1,31.9, 
Kenya,..,..,..,..,..,..,..,2.2,3.5,..,..,..,..,..,..,..,..,..,..,..,.., 
Kosovo,..,..,..,..,..,..,..,..,..,..,..,93.5,71.2,94.1,91.9,91.9,..,..,..,68.0,.., 
Malta,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.2,95.0,97.7, 
Mauritius,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.4,29.2,16.0,..,16.6,..,20.0, 
Morocco,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.1, 
Namibia,..,..,..,..,..,..,..,..,..,23.8,24.3,26.1,32.8,59.4,..,51.2,..,..,..,..,.., 
Nigeria (18),..,..,..,..,..,..,..,3.1,5.8,26.0,5.9,..,..,..,7.6,11.2,12.7,19.5,3.2,7.3,11.7, 
North Macedonia,..,..,..,..,..,..,2.9,2.1,1.5,11.0,15.8,15.6,22.1,26.3,27.8,28.2,28.0,26.4,26.8,27.3,29.7, 
Papua New Guinea,..,..,..,..,..,..,..,..,..,..,..,..,12.8,..,..,..,..,..,..,..,.., 
Peru,4.8,7.2,8.8,10.1,10.1,8.5,13.2,12.4,21.0,26.3,28.6,29.4,35.2,40.6,40.2,37.6,42.6,43.8,44.9,49.7,43.4, 
Romania,..,..,..,..,..,..,..,22.9,14.5,15.4,11.1,5.8,4.7,5.5,6.5,6.3,7.0,6.9,11.5,8.3,10.3, 
Russia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3,.., 
Serbia (19),..,..,..,..,..,..,0.0,..,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.5,..,..,.., 
South Africa (20),..,..,5.0,4.7,5.1,4.1,9.1,9.7,9.2,9.9,8.7,13.1,16.3,20.1,..,21.7,22.4,18.6,20.0,..,.., 
Suriname,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.3,..,..,..,14.3,.., 
Thailand,..,..,..,..,..,..,..,..,0.2,0.1,0.2,0.5,0.5,0.5,0.7,0.8,0.7,0.7,0.9,0.8,.., 
Trinidad and Tobago,..,..,..,..,..,10.7,16.2,..,10.5,..,8.5,10.4,..,..,..,..,..,..,..,..,.., 
Uruguay,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.0,7.2,8.0,15.1,14.6,15.4, 
Zambia,..,4.9,5.0,5.9,5.6,..,..,..,..,..,..,..,..,..,..,..,..,0.1,5.6,10.2,8.0, 
,,,,,,,,,,,,,,,,,,,,,,
"Note: (1) Data refer to pension funds only. (2) There is a break in series in 2021 due to the redesign of the underlying quarterly survey used for data collection. (3) Data include occupational plans from 2015 onwards, and first pillar pension plans (alternative regime schemes for teachers and judicial workers) from 2017 onwards. (4) Data refer to ATP and pension insurance contracts. (5) Data refer to the second pension pillar only. (6) Data for pension insurance contracts (and therefore the total for all pension plans) for 2017 and 2018 are OECD estimates. (7) Data exclude investments in unallocated insurance contracts. (8) Source: Bank of Japan. Claims of pension funds on pension managers are excluded. Data refer to outward investments in securities: investments by residents in shares and securities issued by non-residents overseas or in Japan. (9) Data refer to personal pension insurance contracts. (10) Data for occupational pension plans for 2021 refer to 2020 instead, as 2021 data were not available at the time of the drafting of this report. (11) Data refer to open pension funds only. (12) Data cover closed and open pension funds and personal retirement saving funds (established as pension funds or as collective investment schemes managed by investment companies), and since 2017 personal plans offered by life insurance companies as well. (13) Data refer to pension insurance contracts only. (14) Data refer to personal plans only. (15) Data refer to closed pension funds only. (16) Data include pension insurance companies from 2018 onwards. (17) Data refer to MPF schemes and MPF exempted ORSO registered schemes only. (18) Data refer to DB schemes only. (19) Data include bonds of the European Bank for Reconstruction and Development, which have been issued in Serbia and are denominated in RSD. (20) Data refer to funds under the supervision of the Pension Funds Act.

Source: OECD Global Pension Statistics.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
