Table 1
Return to the menu,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Table A.B.11. Allocation of assets in funded and private pension plans in the ""other"" category, 2001-2021",,,,,,,,,,,,,,,,,,,,,,,
As a percentage of total investment,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,exposure,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Poland (1),direct,0.0,0.0,0.4,0.5,0.4,0.6,0.5,0.7,0.3,0.3,0.7,0.8,0.8,1.4,0.3,0.1,1.4,2.0,2.1,2.1,1.3, 
Portugal (14),varies,7.1,9.6,9.4,9.2,7.0,8.1,7.8,16.2,15.3,17.1,25.5,23.5,22.5,19.2,17.7,15.5,10.3,9.2,8.6,8.4,8.8, 
Slovak Republic (15),varies,..,..,4.4,..,0.6,4.0,5.5,4.2,1.5,0.2,0.2,0.8,0.7,0.8,2.0,4.1,4.4,4.2,1.2,1.4,2.4, 
Slovenia,direct,..,..,0.0,0.0,0.1,3.7,0.5,2.7,3.7,3.0,4.3,3.5,3.7,1.5,1.2,1.8,1.7,1.7,1.9,1.7,1.5, 
Spain (1),varies,13.3,16.0,18.2,13.5,9.1,0.6,8.9,10.2,10.0,9.7,11.2,11.0,10.1,9.2,8.0,8.0,8.5,9.3,8.9,13.3,12.2, 
Sweden,direct,10.2,9.3,6.9,6.5,5.0,3.8,4.5,4.8,3.9,4.4,5.6,4.4,4.2,4.2,3.8,3.7,5.4,5.6,5.9,4.4,3.3, 
Switzerland (1),varies,23.7,24.0,21.8,20.2,19.7,18.7,19.2,28.9,27.5,28.8,29.3,29.3,29.1,29.1,32.0,32.8,33.2,35.4,34.7,35.2,36.0, 
Türkiye (16),total,..,..,..,12.7,7.8,18.3,18.0,15.6,15.0,16.3,..,16.6,0.5,4.9,7.9,9.6,11.3,8.9,18.7,9.6,11.4, 
United Kingdom (17),varies,5.9,6.6,8.3,8.6,7.6,8.3,7.8,10.0,8.5,7.5,8.0,8.4,8.2,8.3,8.7,8.9,8.7,9.4,30.1,30.1,30.9, 
United States,direct,9.3,9.8,9.3,9.0,8.9,11.1,11.2,13.4,12.3,11.5,12.0,11.4,10.6,10.4,10.4,10.4,10.3,10.2,11.5,11.0,11.1, 
Selected other jurisdictions,,,,,,,,,,,,,,,,,,,,,,,
Albania,total,..,..,..,..,..,..,0.0,0.0,0.0,0.0,0.3,0.5,1.4,1.7,2.0,1.8,1.9,2.0,2.0,2.1,1.9, 
Angola,direct,..,..,..,..,..,..,..,..,..,..,..,..,..,6.0,4.9,7.9,7.3,5.9,4.2,4.5,5.8, 
Armenia,direct,..,..,..,..,..,..,..,..,..,..,..,..,..,1.1,0.3,0.3,0.9,1.4,1.3,1.2,0.6, 
Botswana,varies,..,..,..,..,..,..,..,..,..,..,..,..,1.4,..,..,..,1.2,4.0,0.0,-0.0,.., 
Brazil (18),varies,..,..,..,..,..,5.6,5.0,14.0,13.1,14.1,16.5,..,18.8,19.4,21.4,19.2,21.0,19.9,24.1,28.1,9.4, 
Bulgaria,direct,5.0,6.2,3.3,2.0,3.4,2.9,5.8,5.4,4.5,5.2,5.9,4.1,3.6,3.8,3.9,3.3,3.0,3.2,2.6,2.5,2.2, 
Croatia (19),total,..,..,..,..,..,..,..,..,..,..,..,..,..,0.4,0.4,0.6,0.3,1.9,2.2,0.8,1.4, 
Dominican Republic,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,0.8,2.7,2.8,.., 
Egypt,total,..,..,..,..,..,..,..,3.0,..,..,..,..,..,..,..,3.0,4.0,2.4,3.1,2.9,2.7, 
Georgia,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0,0.0,0.0, 
Ghana,direct,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0,13.6,-0.0,2.3,10.3,-0.0, 
Gibraltar (20),total,..,..,..,..,..,..,..,..,..,..,14.7,15.7,22.1,10.5,..,..,..,..,..,..,.., 
Guyana,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.5,25.6,24.8,21.5,24.3,26.2,20.9, 
Hong Kong (China) (21),total,..,6.4,4.9,5.1,8.7,7.6,7.7,10.9,7.7,7.3,6.0,4.5,4.0,4.1,4.4,4.9,4.1,4.7,2.9,3.1,3.3, 
India (22),total,..,..,..,..,..,..,..,..,..,..,5.5,4.1,4.2,2.9,2.9,3.7,3.5,2.8,3.4,3.4,4.6, 
Indonesia,direct,..,..,..,..,..,..,..,..,..,..,6.9,..,..,..,8.8,9.9,9.4,9.4,5.6,8.5,8.2, 
Jamaica,varies,..,..,..,..,..,..,22.8,9.4,28.8,11.4,14.1,12.4,12.3,11.5,11.2,11.7,12.7,12.1,11.3,16.8,16.3, 
Kazakhstan,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,0.3,0.0,0.1, 
Kenya,varies,50.2,47.0,42.5,36.6,32.9,28.2,..,24.8,45.5,48.4,35.9,28.8,29.7,35.3,..,30.3,35.5,35.3,34.6,35.4,34.8, 
Liechtenstein,total,..,..,..,..,..,..,34.2,37.5,32.8,22.9,22.3,22.9,22.4,21.4,20.0,23.1,22.8,25.1,25.1,26.2,29.0, 
Macau (China),total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.7,1.4,1.2, 
Malawi,total,..,..,..,..,..,..,..,..,..,..,..,..,..,14.8,22.4,13.4,11.3,4.0,4.2,5.0,3.7, 
Maldives,total,..,..,..,..,..,..,..,..,..,3.5,5.7,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.8,0.8,0.9, 
Malta,direct,..,..,..,..,..,..,..,..,..,..,..,..,21.5,27.5,32.8,33.2,43.0,..,10.3,7.1,6.1, 
Mauritius,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.5,2.9,..,6.4,3.2,2.2, 
Morocco,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.5,..,..,7.9, 
Mozambique,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.5,5.2,5.1,12.8,10.4,9.6,13.3, 
Namibia (1),total,..,..,..,..,..,..,..,..,..,5.9,8.4,9.4,2.6,3.6,..,8.7,2.8,9.0,8.6,8.8,10.0, 
Nigeria,varies,..,..,..,..,..,..,12.4,13.8,10.9,9.1,8.9,7.3,5.9,5.4,4.8,4.0,3.1,3.2,3.0,2.8,14.5, 
North Macedonia,total,..,..,..,..,..,..,0.0,0.5,0.4,0.0,0.1,1.0,0.2,1.1,1.8,0.2,0.1,0.1,0.1,0.2,0.2, 
Pakistan,total,..,..,..,..,..,..,4.7,3.2,2.0,2.0,1.9,0.8,3.9,3.0,4.0,9.2,12.9,1.6,3.3,1.6,2.4, 
Panama,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2,..,..,..,..,.., 
Papua New Guinea,total,..,..,..,..,..,..,..,..,..,..,..,..,16.5,..,..,..,14.4,11.8,..,..,.., 
Peru,total,0.8,0.4,0.3,0.6,0.3,1.1,1.0,2.8,3.6,3.5,4.1,4.2,4.8,4.6,5.5,8.1,7.5,9.6,7.6,9.1,17.1, 
Romania,varies,..,..,..,..,..,..,-0.0,0.0,0.0,-0.0,0.1,0.3,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.1, 
Russia,varies,..,..,..,..,..,..,..,..,..,..,..,..,4.1,4.9,4.1,8.5,4.9,4.7,5.1,3.2,.., 
Serbia,total,..,..,..,..,..,..,0.0,..,1.1,0.9,0.7,6.1,0.4,0.4,0.3,0.9,0.0,0.0,0.0,0.0,0.0, 
Singapore (23),total,..,..,..,..,..,..,..,..,..,..,..,..,95.6,96.3,96.5,96.4,96.6,96.7,96.8,96.8,96.9, 
South Africa (24),varies,..,..,39.9,13.7,62.1,55.1,54.3,58.0,54.6,51.8,52.8,53.5,52.2,50.8,52.3,51.3,52.2,52.0,52.3,53.2,.., 
Suriname,varies,..,35.0,27.0,35.0,40.0,32.0,..,..,..,..,..,..,..,..,..,36.3,42.0,43.5,43.8,54.3,44.6, 
Tanzania,direct,..,..,..,..,..,..,..,..,..,..,..,..,..,66.3,54.1,56.3,51.9,..,..,..,.., 
Thailand,varies,7.1,5.1,4.7,2.1,1.8,2.1,0.6,0.1,0.3,0.8,0.5,0.6,0.7,0.9,0.6,0.7,1.0,1.0,1.9,2.3,1.9, 
Trinidad and Tobago,total,..,..,..,..,..,19.4,23.3,..,20.0,..,22.2,18.1,..,..,..,..,..,..,22.2,22.6,.., 
Uganda,total,..,..,..,..,..,..,..,..,..,..,..,..,..,12.1,9.3,9.1,6.8,6.5,6.8,7.0,7.0, 
Ukraine,total,..,..,..,..,..,..,..,7.4,..,16.6,9.4,..,..,..,..,..,..,4.3,5.7,4.5,.., 
Uruguay,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.9,15.5,20.4,30.6,31.1,34.2, 
Zambia,varies,60.4,56.3,59.0,45.8,39.3,26.5,30.4,36.8,34.1,33.6,32.9,33.0,27.5,24.3,28.9,31.4,26.1,29.9,27.1,25.4,18.4, 
Zimbabwe,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63.9,44.5, 
,,,,,,,,,,,,,,,,,,,,,,,
"Note: The “Other” category includes loans, land and buildings, unallocated insurance contracts, hedge funds, private equity funds, structured products, other mutual funds (i.e. not invested in equities, bills and bonds or cash and deposits) and other investments. Negative values (due to derivatives) have been excluded from the calculations of the allocation of pension plan assets. The OECD Global Pension Statistics exercise gathers information on the investments of pension plan assets in collective investment schemes (CIS) and the look-through of these investments in equities, bills and bonds, cash and deposits and other. Data on asset allocation in the Tables include both direct investments in equities, bills and bonds, cash and deposits and indirect investments through CIS when the look-through of CIS investments is available. In such case, the Tables show the overall exposure of pension plan assets in the selected asset classes. When the look-through is not available, the Tables only show the direct investments of pension plan assets in equities, bills and bonds, cash and deposits and other assets; the sum of investments in these four categories is not equal to 100% and the difference to 100% corresponds to the share of pension assets invested in collective investment schemes. There has been a change in the reporting of investments in CIS and the related look-through over the period for Belgium, Chile, Colombia, Estonia, Greece, Hungary, Israel, Italy, Latvia, Luxembourg, Portugal, Slovak Republic, Spain, Switzerland and the United Kingdom among OECD countries; and for Botswana, Brazil, Jamaica, Kenya, Nigeria, Romania, Russia, South Africa, Suriname, Thailand and Zambia among non-OECD jurisdictions.

(1) Data refer to pension funds only. (2) Data cover pension funds, and individual pension savings from 2017 onwards. Data on individual pension savings for 2021 refer to 2020 instead. (3) There is a break in series in 2021 due to the redesign of the underlying quarterly survey used for data collection and to the changes in some definitions. (4) Data include occupational plans from 2015 onwards, and first pillar pension plans (alternative regime schemes for teachers and judicial workers) from 2017 onwards. (5) Data refer to pension funds and pension insurance contracts. (6) Data refer to the second pension pillar only. (7) Data refer to pension insurance contracts only. (8) Data are estimates; the breakdown of investments through CIS has not been approved by external auditors yet and is not available for Pensionsfonds. (9) Data include pension funds, and all other financing vehicles (except pension insurance contracts) from 2010 onwards. (10) Data refer to DB plans only. (11) Source: Bank of Japan. Claims of pension funds on pension managers are excluded from the calculations of the asset allocation of Japan’s pension funds. The high value for the “Other” category in Japan is mainly driven by outward investments in securities. (12) Data refer to (occupational) retirement pension plans and personal pension insurance contracts. (13) The break in series in 2005 is due to the inclusion of occupational pension plans registered by the National Commission for the Retirement Savings System (CONSAR) since 2005, not included in previous years. Data for occupational plans for 2021 refer to 2020 instead. (14) Data cover closed and open pension funds and personal retirement saving funds (established as pension funds or as collective investment schemes managed by investment companies), and since 2017 personal plans offered by life insurance companies as well. (15) The break in series in 2006 is due to the inclusion of voluntary pension plans, not included in previous years. (16) Data refer to personal plans only. (17) Data for 2019 onwards come from a new ONS survey. (18) Data refer to closed pension funds only. (19) Data include pension insurance companies from 2018 onwards. (20) Data for one DB pension scheme is missing for 2014, hampering the data comparability with previous years. (21) Data cover MPF schemes and MPF-exempted ORSO registered schemes only. (22) Data refer to the National Pension Scheme and Atal Pension Yojana. (23) Source: CPF's website. (24) Data refer to pension funds supervised under the Pension Funds Act only.

Source: OECD Global Pension Statistics.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
