Table 1
Return to the menu,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Table A.B.1. Total assets in funded and private pension plans, in millions of national currency, 2001-2021",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,
Netherlands,"459,446","397,767","482,623","531,077","619,550","671,880","772,452","670,244","679,856","760,115","815,868","931,525","968,089","1,055,934","1,163,253","1,290,793","1,360,152","1,343,729","1,578,908","1,711,375","1,826,397", ,,
New Zealand,"18,308","17,015","15,673","16,836","17,683","20,231","19,781","19,388","22,008","27,158","31,374","34,756","40,426","51,725","58,016","65,111","76,051","80,926","97,654","110,850","131,944", ,,
Norway (14),"84,435","84,617","103,086","114,161","130,541","146,739","160,435","153,541","175,191","194,170","201,427","219,759","248,723","277,737","301,388","318,069","345,665","347,717","386,175","421,366","456,768", ,,
Poland (15),"18,951","31,134","44,994","62,654","86,216","118,609","142,334","140,664","182,808","224,816","230,981","276,620","309,969","165,020","157,878","171,512","200,668","180,416","181,381","183,912","232,722", ,,
Portugal (16),"14,826","17,257","18,211","17,418","21,691","24,057","25,241","21,859","23,384","21,151","14,334","15,487","16,147","18,506","19,553","20,009","38,023","38,903","43,900","44,500","46,388", ,,
Slovak Republic (17),..,..,7,..,240,"1,323","2,286","3,174","3,966","4,882","5,798","6,817","7,198","7,944","8,037","9,034","9,976","10,514","11,860","13,195","15,424", ,,
Slovenia,..,..,272,491,715,969,"1,238","1,441","1,792","2,117","2,227","2,270","2,327","2,561","2,688","2,811","2,994","3,139","3,507","3,762","4,083", ,,
Spain,..,"81,283","92,265","100,376","110,502","121,589","132,319","126,324","133,534","134,398","133,428","136,757","144,754","151,223","154,353","155,811","157,893","151,351","162,448","162,682","171,736", ,,
Sweden,"752,697","828,517","831,376","1,036,493","1,234,590","1,607,698","1,761,449","1,849,722","1,723,061","1,878,842","2,219,149","2,454,476","2,566,420","2,968,332","3,158,088","3,527,589","4,148,846","4,214,482","5,015,725","5,425,456","6,378,294", ,,
Switzerland (18),"440,898","416,517","450,281","484,044","542,629","583,267","605,459","538,524","598,930","621,234","625,295","672,785","809,246","871,103","885,534","924,236","997,378","980,590","1,113,608","1,172,697","1,269,200", ,,
Türkiye (19),..,..,..,298,"1,232","2,820","4,560","6,384","9,015","11,794","13,805","19,610","25,371","36,424","46,231","58,283","79,558","92,367","126,787","169,488","239,394", ,,
United Kingdom (20),"739,744","632,411","725,334","796,537","956,641","1,059,140","1,058,315","898,602","1,007,306","1,145,782","1,219,976","1,360,055","1,436,084","1,474,122","1,537,837","1,792,632","1,963,526","2,078,528","2,395,090","2,613,730","2,792,700", ,,
United States,"11,226,402","10,565,163","12,413,754","13,748,809","14,605,439","16,390,662","17,669,759","13,931,285","16,190,427","17,936,170","18,096,472","19,936,486","22,734,674","23,935,896","23,981,656","25,288,021","28,747,415","27,681,791","32,113,819","35,777,405","40,027,760", ,,
Selected other jurisdictions,,,,,,,,,,,,,,,,,,,,,,,,
Albania (21),..,..,..,..,..,..,45,102,209,311,155,284,436,632,930,"1,325","1,733","2,303","2,921","3,619","4,599", ,,
Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,"182,428","241,024","146,774","149,532","244,312","409,058","567,316","478,091", ,,
Argentina (22),..,"38,676","46,885","54,168","66,429","87,919","91,626",..,..,..,..,..,..,..,..,..,..,..,..,..,.., ,,
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,"12,145","31,540","63,323","105,831","158,965","251,463","369,750","483,088", ,,
Bolivia,..,"8,202","11,436","13,625","16,278","18,003","21,912","26,255","31,278","37,657",..,..,..,..,..,..,..,..,..,..,.., ,,
Botswana,..,..,..,..,..,..,..,..,..,..,..,..,"58,700",..,..,..,"82,004","80,745","93,133","105,175",.., ,,
Brazil (23),..,..,..,..,..,"423,775","436,565","412,506","485,678","539,093","573,018","645,527","644,860","1,093,798","1,213,636","1,432,133","1,612,748","1,740,738","1,885,707","2,099,369","2,195,636", ,,
Bulgaria,187,337,513,794,"1,117","1,522","2,328","2,303","3,173","3,996","4,598","5,709","6,821","8,185","9,394","10,824","12,742","13,463","15,734","17,407","19,618", ,,
China (People’s Republic of) (24),..,..,..,"49,300","68,000","91,000","152,000","191,100","253,300","280,900","357,000","482,100","603,500","768,900","952,600","1,107,500","1,288,000","1,477,000","1,798,500","2,249,700","2,610,000", ,,
Croatia (25),..,"2,334","5,282","8,770","11,668","16,377","21,814","23,539","30,628","38,088","43,036","53,563","60,940","70,312","78,941","89,092","97,380","104,219","120,303","127,862","143,278", ,,
Dominican Republic (26),..,..,..,..,"12,911","21,834","32,994","48,536","68,536","90,387","118,603","154,695","194,417","305,905","336,457","397,260","443,107","567,218","595,567","687,349",.., ,,
Egypt,..,..,..,..,..,..,..,"21,847",..,..,..,..,"35,274","39,659","43,035","48,300","63,622","70,858","80,347","90,557","113,237", ,,
El Salvador,..,"1,061","1,572","2,148","2,881","3,470","4,054","4,535","5,127","5,688","6,181","6,863","7,398","8,054","8,637","9,315","10,166","10,881","11,775","12,452","12,964", ,,
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,508,"1,165","1,980", ,,
Ghana,..,..,..,..,..,..,..,..,..,..,..,..,..,"2,582","4,672","6,793","11,023","13,014","17,363","22,019","28,019", ,,
Gibraltar (27),..,..,..,..,..,..,..,..,..,..,22,25,26,7,..,..,..,..,..,..,.., ,,
Guyana,..,..,..,..,..,..,..,"22,629","25,590","27,253","30,127","34,604","40,185","41,505","45,435","47,013","50,562","62,144","70,328","76,525","88,769", ,,
Hong Kong (China),"190,919","215,928","227,549","298,686","343,614","410,653","503,723","469,147","523,777","608,325","618,484","701,392","798,960","854,859","893,230","954,518","1,158,663","1,164,956","1,297,254","1,472,932","1,545,626", ,,
India,..,..,..,..,..,..,..,..,..,"3,152,436","3,652,512","4,354,554","5,153,126","6,187,052","7,414,174","8,999,079","10,727,389","12,689,473","15,152,185","18,193,644",.., ,,
Indonesia,"33,621,814","40,200,000","47,410,000","55,370,000","60,900,000","74,960,000","87,904,869","86,550,000","108,060,000","125,720,000","136,543,778","153,750,000","157,600,000","186,140,000","200,104,742","228,878,462","255,283,253","261,072,441","283,144,484","306,098,589","316,980,723", ,,
Isle of Man,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"4,151","10,628","10,817","12,247","12,300","14,357", ,,
Jamaica,..,..,..,"98,533",..,"131,916","173,912","196,410","222,402","259,067","282,981","290,388","303,740","338,415","395,077","452,146","525,830","602,368","702,167","662,320","713,349", ,,
Kazakhstan,"173,593","263,795","337,752","503,348","630,781",..,..,..,..,..,..,..,..,..,..,..,..,"9,554,860","10,809,206","12,917,110","13,511,601", ,,
Kenya,"85,880","107,266","133,373","155,755","187,385","243,327","263,700","272,284","313,865","431,727","460,988","548,700","696,680","755,163","814,100","982,642","1,080,114","1,166,349","1,298,191","1,398,949","1,547,431", ,,
Kosovo,..,..,..,..,..,..,..,..,..,..,..,717,919,"1,094","1,186","1,432","1,653","1,689","1,976","1,999","2,363", ,,
Lesotho,..,..,..,..,..,..,..,..,..,..,"2,216","2,617",..,..,..,..,..,..,..,..,.., ,,
Liechtenstein,..,..,..,..,..,..,"2,235","2,266","2,728","3,472","3,527","3,597","3,953","4,228","4,934","5,303","5,925","5,876","7,195","7,808","8,615", ,,
Macau (China),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"30,361","36,191","39,466", ,,
Malawi,..,..,..,..,..,..,..,..,..,..,..,..,"177,981","246,980","306,663","380,829","532,263","692,877","852,643","1,020,143","1,278,500", ,,
Malaysia (28),..,..,..,..,..,..,..,..,..,..,..,64,300,716,"1,172","1,515","2,232","2,680","3,500","4,750","5,628", ,,
Maldives,..,..,..,..,..,..,..,..,..,"2,656","3,364","4,309","5,319","6,514","7,852","9,205","10,643","12,216","13,895","15,705","17,587", ,,
Malta,..,..,..,..,..,..,..,..,..,..,35,575,"1,227","2,141","3,146","3,904","4,666",..,"6,495","7,065","7,872", ,,
Mauritius (29),..,..,..,..,..,..,..,..,..,..,..,"6,924","7,975",..,"17,281","19,003","21,190",..,"55,506","56,403","62,478", ,,
Morocco,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"61,807",..,..,"70,014", ,,
Mozambique,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"3,297","3,718","6,364","9,537","10,944","11,865","14,295", ,,
Namibia,..,..,..,..,..,..,..,..,..,"63,903","69,479","85,757","103,612","117,163",..,"136,353","154,860","167,797","172,243","177,092","211,595", ,,
Nigeria,..,..,..,..,..,..,"815,193","1,098,990","1,517,020","2,021,590","2,442,840","3,153,110","4,057,440","4,611,630","5,301,780","6,164,829","7,515,350","8,637,718","10,218,052","12,306,080","13,424,810", ,,
North Macedonia,..,..,..,..,..,..,"3,125","5,037","8,751","12,494","16,141","21,336","27,137","33,582","40,802","49,079","58,239","65,941","77,620","89,549","108,675", ,,
Pakistan,..,..,..,..,..,..,648,735,"1,008","1,375","1,842","3,232","6,089","10,199","15,294","22,666","23,947","26,172","30,121","35,538","39,603", ,,
Panama,..,..,..,..,..,..,..,108,..,161,216,..,333,384,427,478,537,557,624,643,697, ,,
Papua New Guinea,..,..,..,..,..,..,..,..,..,..,..,..,"8,593",..,..,..,"12,064","12,880",..,..,.., ,,
Peru,"12,467","15,906","22,056","26,065","32,574","46,050","61,051","49,881","69,287","87,296","81,881","96,853","102,077","114,503","124,093","138,191","159,085","156,158","174,823","164,875","133,310", ,,
Romania,..,..,..,..,..,..,14,934,"2,473","4,663","6,857","10,242","14,689","20,172","25,940","32,988","41,549","49,602","64,505","78,069","92,518", ,,
Russia,..,..,..,..,..,..,..,..,..,..,..,..,"3,835,186","3,985,916","4,793,277","5,279,485","5,581,863","5,658,797","6,163,330","6,463,285",.., ,,
Serbia,..,..,..,..,..,226,"3,057","4,662","7,222","9,912","12,493","16,366","19,747","23,654","28,954","32,860","36,249","40,256","45,315","47,109","49,155", ,,
Singapore (30),..,..,..,..,..,..,..,..,..,..,"207,144","229,796","252,643","274,979","299,150","328,185","358,809","390,063","423,732","457,105","500,202", ,,
South Africa (31),"835,574","867,396","909,099","1,091,807","1,283,921","1,620,900","1,938,600","1,972,346","1,874,100","2,198,384","2,429,800","2,749,145","3,211,017","3,677,244","4,035,825","4,146,048","4,262,395","4,490,617","4,632,304",..,.., ,,
Suriname,..,429,368,590,641,721,..,..,..,..,..,..,..,..,..,"2,302","3,368","3,486","3,578","5,024","6,831", ,,
Tanzania,..,..,..,..,..,..,..,..,..,..,..,..,"4,714,088","6,711,300","8,840,236","9,026,510","9,911,402",..,..,..,.., ,,
Thailand,"222,917","244,823","287,329","305,462","345,896","390,928","441,710","465,297","516,651","577,865","619,007","699,850","753,580","841,514","890,200","979,399","1,090,672","1,138,805","1,230,101","1,267,511","1,349,037", ,,
Trinidad and Tobago,..,..,..,..,..,"21,164","23,400","25,843","31,811","34,521","29,589","32,561",..,..,..,..,..,..,"53,924","54,803",.., ,,
Uganda,..,..,..,..,..,..,..,..,..,..,..,..,..,"5,037,409","6,375,638","7,480,672","9,039,567","11,400,426","12,983,526","15,189,098","19,352,418", ,,
Ukraine,..,..,27,..,..,..,..,612,..,"1,144","1,387",..,..,..,..,..,"2,466","2,745","3,143","3,489",.., ,,
Uruguay,..,"24,300","36,100","44,222","51,889","63,096","72,757","69,941","100,183","134,505","154,517","196,813","224,752","266,614","317,041","365,205","468,718","500,025","567,329","683,505","775,519", ,,
Zambia,543,656,"1,177","1,060","1,236","1,468","2,079","2,047","2,318","2,854","3,155","3,860","4,617","4,996","5,664","6,656","7,823","8,672","9,346","11,116","12,416", ,,
Zimbabwe (32),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"16,488","110,241","318,961", ,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Note: The total amount of investments of funded and private pension plans is taken as a proxy of the total amount of assets in these plans. (1) Data refer to Pensionskassen only. (2) Data cover pension funds, pension insurance contracts (since 2005) and individual pension savings (since 2017). Net technical provisions are taken as a proxy of assets in pension insurance contracts. (3) The method used to estimate the assets of trusteed pension funds changed in 2021 following the redesign of a quarterly survey used for data collection. (4) Data include occupational plans from 2015 onwards, and first pillar pension plans (alternative regime schemes for teachers and judicial workers) from 2017 onwards. (5) The break in series in 2011 comes from the exclusion of public buffer funds, included before. (6) The break in series in 2013 comes from the transformation of four funds operating on a pay-as-you-go basis into funded occupational schemes. (7) The drop of assets in 2011 comes from a pension reform that suspended payments to mandatory individual schemes and redirected all the contributions to pay-as-you-go public pension schemes, unless workers chose to keep these individual pension schemes by the end of January 2011. The break in series in 2016 is due to the inclusion of individual retirement accounts (available through banks and investment companies) and pension insurance products, not included before. (8) Data on pension insurance contracts are included from 2008 onward. (9) Data on personal retirement savings accounts are included from 2014 onwards. The decrease in DC assets for Ireland in 2016 arose from a change in methodology (previously estimation based on industry reports). Estimates are now based on the aggregation of data submitted on an annual basis to the pensions supervisor by individual DC schemes. (10) Data include book reserves, with net technical provisions taken as a proxy of pension assets. (11) The amount in 2019 is an OECD estimate, with the amount of assets in personal plans estimated based on 2018 and 2020 data. (12) The break in series in 2005 is due to the inclusion of pension funds supervised by the CSSF, not included in previous years. (13) The break in series in 2005 is due to the inclusion of occupational pension plans registered by the National Commission for the Retirement Savings System (CONSAR) since 2005, not included in previous years. Data for occupational pension plans for 2021 refer to 2020 instead, as 2021 data were not available at the time of the drafting of this report. (14) Data refer to pension funds only. (15) The drop in investments in 2014 is due to the reversal of the mandatory private pension system that led to a transfer of domestic sovereign bonds held by open pension funds into the social security system. (16) The drop of assets in 2011 is the result of the transfer of bank pension funds (i.e. pension funds sponsored by banks and having as beneficiaries the employees of their banks) to the Public Retirement System. Data cover closed and open pension funds and personal retirement saving funds (established as pension funds or as collective investment schemes managed by investment companies), and since 2017 personal plans offered by life insurance companies as well. (17) The break in series in 2006 is due to the inclusion of voluntary pension plans, not included in previous years. (18) Data cover occupational plans, and personal plans from 2013 onwards. Data on personal plans for 2021 refer to 2020 instead. (19) Data refer to personal plans only. (20) Data refer to gross assets of pension funds (excluding derivatives). (21) The break in series in 2011 is due to a change in legislation, withdrawals and the unavailability of data from one of the three funds that was operating under the old framework. (22) A pension reform led to the transfer of pension fund assets to the National Social Security Administration. (23) The break in series in 2014 is due to the inclusion of open entities (under the supervision of SUSEP), not included before. (24) Data refer to enterprise annuities. (25) Data include pension insurance companies from 2018 onwards. (26) Data include occupational plans from 2014 onwards. (27) Data for one DB pension scheme is missing for 2014, hampering the data comparability with previous years. (28) Data refer to the net asset value of private retirement schemes (PRS) and can be retrieved in the annual reports of the Securities Commission Malaysia. (29) Data refer to some occupational voluntary pension schemes only. (30) Data cover all the accounts of the CPF, which may not all be earmarked for retirement purposes (e.g. the Medisave account). (31) Data refer to the amount of assets of all funds (including those not supervised under the Pension Funds Act such as the Government Employees Pension Fund (GEPF) established by separate statutes). Data can be retrieved on the FSCA website (annual reports). (32) Data refer to occupational plans only, and do not cover the NSSA nor the Government Pension Scheme.

Source: OECD Global Pension Statistics.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
